rec_rva,sec,verbosity,line,file,fmt_rva,fmt,dyn_rva
0x076880A0,.rdata,Display,135,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x076880C0,"This command requires two arguments, both 0 or 1 to control the use of high priority and background priority threads, respectively.",0x09D0B738
0x07688228,.rdata,Display,137,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07688250,High priority task threads: %d    Background priority threads: %d,0x09D0B739
0x076888D8,.rdata,Display,2765,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07688900,Currently ignoring %d threads per priority bank,0x09D0B748
0x07688AE8,.rdata,Display,2780,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07688B10,Setting task thread priority to above normal.,0x09D0B749
0x07688B70,.rdata,Display,2785,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07688B90,Setting task thread priority to below normal.,0x09D0B74A
0x07688BF0,.rdata,Display,2789,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07688C10,Setting task thread priority to normal.,0x09D0B74B
0x07689408,.rdata,Log,1272,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07689430,Started task graph with %d named threads and %d total threads with %d sets of task threads.,0x09D0B780
0x07689590,.rdata,Fatal,1611,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x076895B0,Recursive waits are not allowed in single threaded mode.,0x09D0B781
0x076896F0,.rdata,Fatal,2210,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x076895B0,Recursive waits are not allowed in single threaded mode.,0x09D0B782
0x07689840,.rdata,Warning,2571,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07689860,Task graph took %6.2fms for %s to %s,0x09D0B884
0x07689A60,.rdata,Log,2692,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07689A80,FTaskGraphInterface::BroadcastSlow_OnlyUseForSpecialPurposes Broadcast failed after three seconds. Ok during automated tests.,0x09D0B885
0x07689B80,.rdata,Warning,2707,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07689BA0,Task graph took %6.2fms to wait for task thread broadcast.,0x09D0B886
0x07689C18,.rdata,Warning,2735,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07689C40,Task graph took %6.2fms to broadcast.,0x09D0B887
0x07689DD8,.rdata,Error,53,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\CompressionUtil.cpp,0x07689E00,SerializeCompressorName Unknown index:%d,0x09D0B888
0x07689F08,.rdata,Display,140,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\CompressionUtil.cpp,0x07688EE4,%s,0x09D0B889
0x0768A860,.rdata,Error,160,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768A880,"Invalid Compressor: %d
",0x09D1397C
0x0768A918,.rdata,Error,171,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768A938,"Invalid Level: %d
",0x09D1397D
0x0768A960,.rdata,Error,192,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768A980,"Invalid ECompressionFlags : %04X
",0x09D1397E
0x0768A9C8,.rdata,Verbose,311,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768A9E8,OodleScratchMemorySize=%d x %d,0x09D1397F
0x0768AA90,.rdata,Error,330,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768AAB0,OodleDataCompression - shutting down while in use?,0x09D13980
0x0768AB18,.rdata,VeryVerbose,343,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768AB38,OodleDecode: %lld -> %lld,0x09D13981
0x0768AB70,.rdata,Error,350,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768AB90,OodleDecode: no compressed buffer size to decode!,0x09D13982
0x0768ABF8,.rdata,Error,355,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768AC20,OodleDecode: compressed buffer starts with zero byte; invalid or corrupt compressed stream.,0x09D13983
0x0768ACD8,.rdata,Error,371,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768AD00,OodleDecode: Failed to allocate scratch buffer %d bytes!,0x09D13984
0x0768AD78,.rdata,Error,396,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768ADA0,OodleDecode : no Oodle compressor found!; likely an invalid or corrupt compressed stream.,0x09D13985
0x0768AE58,.rdata,Error,403,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768AE80,OodleDecode : MemorySizeNeeded invalid; likely an invalid or corrupt compressed stream.,0x09D13986
0x0768AF30,.rdata,Error,413,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768AF50,OodleDecode - Failed to allocate %d!,0x09D13987
0x0768AFA0,.rdata,Error,442,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768AFC0,"OodleEncode: Compressor or Level Invalid
",0x09D13988
0x0768B018,.rdata,Error,447,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768B040,"OodleEncode: OutCompressedSize too small
",0x09D13989
0x0768B098,.rdata,Error,474,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768B0C0,OodleEncode: Failed to allocate scratch buffer %d bytes!,0x09D1398A
0x0768B138,.rdata,VeryVerbose,489,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768B160,OodleEncode: %s (%s): %lld -> %lld,0x09D1398B
0x0768B1A8,.rdata,VeryVerbose,505,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768B160,OodleEncode: %s (%s): %lld -> %lld,0x09D1398C
0x0768B1C8,.rdata,Display,587,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768B1E8,Oodle: %hs,0x09D139B8
0x0768B238,.rdata,Error,687,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768B258,"CompressParallelSub failed
",0x09D139B9
0x0768B290,.rdata,Error,694,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Compression\OodleDataCompression.cpp,0x0768B2B0,"CompressParallel buffer size insufficient
",0x09D139BA
0x0768B630,.rdata,Fatal,8,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Containers\ContainerAllocationPolicies.cpp,0x0768B650,Trying to resize TAlignedHeapAllocator to an invalid size of %d with element size %I64u,0x09D13A0C
0x0768B770,.rdata,Fatal,14,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Containers\ContainerAllocationPolicies.cpp,0x0768B790,Trying to resize TSizedHeapAllocator<%d> to an invalid size of %lld with element size %I64u,0x09D13A0D
0x0768B848,.rdata,Fatal,8,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Containers\ContainerHelpers.cpp,0x0768B870,Trying to resize TArray to an invalid size of %llu,0x09D13A0E
0x0768B940,.rdata,Fatal,14,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Containers\ContainerHelpers.cpp,0x0768B960,Trying to resize TSet to an invalid size of %llu,0x09D13A0F
0x0768B9C8,.rdata,Log,42,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Containers\LockFreeList.cpp,0x0768B9F0,LockFree Tag has overflowed...(not a problem).,0x09D13A10
0x0768BAB0,.rdata,Fatal,48,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Containers\LockFreeList.cpp,0x0768BAD0,Consumed %d lock free links; there are no more.,0x09D13A11
0x0768BB60,.rdata,Fatal,16,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Containers\MemoryImageAllocator.cpp,0x0768BB80,Trying to resize TMemoryImageAllocator to an invalid size of %d with element size %I64u,0x09D13B30
0x0768BD48,.rdata,Error,1777,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Containers\String.cpp.inl,0x0768B4D8,Archive is corrupted,0x09D13B31
0x0768BD68,.rdata,Error,1797,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Containers\String.cpp.inl,0x0768B570,"String is too large (Size: %i, Max: %i)",0x09D13B32
0x0768BD98,.rdata,Fatal,23,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Experimental\ConcurrentLinearAllocator.cpp,0x0768BDC0,Trying to resize TConcurrentLinearArrayAllocator to an invalid size of %d with element size %I64u,0x09D13B64
0x0768C060,.rdata,Verbose,747,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\FileCache\FileCache.cpp,0x0768C080,"ReadData(%d, %d) is skipping cache, cache is full",0x09D13C44
0x07696B38,.rdata,Log,202,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformTime.cpp,0x07696B60,Disabling printing the CPU usage,0x09D144E0
0x07696C18,.rdata,Log,207,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformTime.cpp,0x07696C40,"Delay set to %i second(s), started printing the CPU usage",0x09D144E1
0x07696E18,.rdata,Log,237,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformTime.cpp,0x07696E40,CPU Time for last %3i frames: %5.1f%% (%5.1f%%),0x09D144F9
0x07697D70,.rdata,Error,390,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformCrashContext.cpp,0x07697D90,"Symbols label too long (%d) for field size(%d), truncated. This may cause problems with crash report symbolication.",0x09D17618
0x07697EF0,.rdata,Log,451,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformCrashContext.cpp,0x07697F10,"Session CrashGUID >====================================================
         Session CrashGUID >   %s
         Session CrashGUID >====================================================",0x09D17619
0x076980F8,.rdata,VeryVerbose,533,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformCrashContext.cpp,0x07698120,Updating forked child Session ProcessID: %u -> %u,0x09D1761A
0x07698308,.rdata,Log,821,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformCrashContext.cpp,0x07698330,FGenericCrashContext::ConfigureCrashReporter begin,0x09D1764C
0x07698398,.rdata,Log,833,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformCrashContext.cpp,0x076983C0,"Duplicate crash event detected, which usually indicates a new ensure or crash being triggered as part of handling an existing event.",0x09D1764D
0x076990B8,.rdata,VeryVerbose,1494,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformCrashContext.cpp,0x076990E0,"FGenericCrashContext::SetEngineData(%s, <RemoveKey>)",0x09D17664
0x07699150,.rdata,VeryVerbose,1506,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformCrashContext.cpp,0x07699170,"FGenericCrashContext::SetEngineData(%s, %s)",0x09D17665
0x076991C8,.rdata,VeryVerbose,1562,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformCrashContext.cpp,0x076991F0,"FGenericCrashContext::SetGameData(%s, <RemoveKey>)",0x09D17666
0x07699258,.rdata,VeryVerbose,1574,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformCrashContext.cpp,0x07699280,"FGenericCrashContext::SetGameData(%s, %s)",0x09D17667
0x076993B0,.rdata,Fatal,69,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\Async\AsyncFileHandle.h,0x076993D0,IAsyncReadRequests must not be deleted until they are completed.,0x09D1767C
0x0769A148,.rdata,Warning,224,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformMemory.cpp,0x0769A170,Freeing %d bytes (%.1f MiB) from backup pool to handle out of memory.,0x09D176FC
0x0769A270,.rdata,Warning,230,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformMemory.cpp,0x0769A290,"MemoryStats:
	AvailablePhysical %llu (%.2f GiB)
	 AvailableVirtual %llu (%.2f GiB)
	     UsedPhysical %llu (%.2f GiB)
	 PeakUsedPhysical %llu (%.2f GiB)
	      UsedVirtual %llu (%.2f GiB)
	  PeakUsedVirtual %llu (%.2f GiB)",0x09D176FD
0x0769A450,.rdata,Fatal,253,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformMemory.cpp,0x0769A470,Ran out of memory allocating %llu (%.1f MiB) bytes with alignment %u. Last error msg: %s.,0x09D176FE
0x0769A748,.rdata,Display,433,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformMemory.cpp,0x0769A770,"Platform has ~ %d GB [%lld / %lld / %d], which maps to %s [LargestMinGB=%d, LargerMinGB=%d, DefaultMinGB=%d, SmallerMinGB=%d, SmallestMinGB=0)",0x09D17709
0x0769A890,.rdata,Display,438,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformMemory.cpp,0x0769A8B0,"Platform has ~ %d GB [%lld / %lld / %d], but commandline overrode bucket to %s",0x09D1770A
0x0769ADC0,.rdata,Log,937,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformMisc.cpp,0x0769ADE0,"FPlatformMisc::RequestExit(%i, %s)",0x09D17710
0x0769AF58,.rdata,Warning,1193,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformMisc.cpp,0x0769AF80,Failed to determine engine directory: Defaulting to %s,0x09D17711
0x0769B568,.rdata,Warning,262,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\GenericPlatform\GenericPlatformProcess.cpp,0x0769B590,FGenericPlatformProcess::GetGameBundleId not implemented on this platform,0x09D1788C
0x0769B838,.rdata,Fatal,8,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\Allocators\AnsiAllocator.cpp,0x0769B860,Trying to resize FAnsiAllocator to an invalid size of %d with element size %I64u,0x09D17894
0x0769B978,.rdata,Fatal,48,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\Allocators\CachedOSPageAllocator.cpp,0x0769B9A0,OS memory allocation cache has been corrupted!,0x09D17895
0x0769BE28,.rdata,Verbose,237,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\ConsoleManager.cpp,0x07688EE4,%s,0x09D178DC
0x0769BEA8,.rdata,Log,243,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\ConsoleManager.cpp,0x07688EE4,%s,0x09D178DD
0x0769BEC8,.rdata,Warning,248,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\ConsoleManager.cpp,0x07688EE4,%s,0x09D178DE
0x0769C010,.rdata,Warning,328,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\ConsoleManager.cpp,0x0769C030,Console variable '%s' used in the render thread. Rendering artifacts could happen. Use ECVF_RenderThreadSafe or don't use in render thread.,0x09D178DF
0x0769DAA8,.rdata,Warning,2747,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\ConsoleManager.cpp,0x0769DAD0,"Console object named '%s' already exists but is being registered again, but we weren't expected it to be! (FConsoleManager::AddConsoleObject)",0x09D178E0
0x0769DBF0,.rdata,Fatal,2762,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\ConsoleManager.cpp,0x0769DC10,Console object named '%s' can't be replaced with the new one of different type!,0x09D178E1
0x0769DE18,.rdata,Display,1012,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\ConsoleManager.cpp,0x0769DE38," |-> Unsetting %s, now %s",0x09D178E2
0x0769DE70,.rdata,Display,1012,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\ConsoleManager.cpp,0x0769DE38," |-> Unsetting %s, now %s",0x09D178E3
0x0769DE90,.rdata,Display,1012,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\ConsoleManager.cpp,0x0769DE38," |-> Unsetting %s, now %s",0x09D178E4
0x0769DEB0,.rdata,Display,1012,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\ConsoleManager.cpp,0x0769DE38," |-> Unsetting %s, now %s",0x09D178E5
0x0769F010,.rdata,Fatal,54,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F030,Failed to read file: %s,0x09D1A9CC
0x0769F340,.rdata,Log,101,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F360,Can't write to signed game file: %s,0x09D1A9CD
0x0769F3A8,.rdata,Fatal,123,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F3C8,Failed to create file: %s,0x09D1A9CE
0x0769F400,.rdata,Log,263,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F420,Can't delete signed game file: %s,0x09D1A9CF
0x0769F468,.rdata,Warning,272,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F490,Could not delete %s because it doesn't exist.,0x09D1A9D0
0x0769F4F0,.rdata,Warning,286,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F510,Error deleting file: %s (Error Code %i),0x09D1A9D1
0x0769F560,.rdata,Warning,306,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F580,"DeleteFile was unable to delete '%s', retrying in .5s...",0x09D1A9D2
0x0769F5F8,.rdata,Error,314,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F618,Error deleting file '%s'.,0x09D1A9D3
0x0769F650,.rdata,Warning,319,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F670,DeleteFile recovered during retry!,0x09D1A9D4
0x0769F6B8,.rdata,Warning,336,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F6E0,"MoveFile was unable to move '%s' to '%s' (Error Code %i), retrying in .5s...",0x09D1A9D5
0x0769F780,.rdata,Warning,345,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F7A0,MoveFile recovered during retry!,0x09D1A9D6
0x0769F7E8,.rdata,Error,352,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F810,Error moving file '%s' to '%s'.,0x09D1A9D7
0x0769F880,.rdata,Error,701,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F8A0,SetFilePointer on %s Failed %lld/%lld: %lld %s,0x09D1A9D8
0x0769F900,.rdata,Warning,832,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F920,ReadFile failed: Count=%lld ReadCount=%lld Error=%s,0x09D1A9D9
0x0769F988,.rdata,Error,847,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769F9B0,"Requested read of %d bytes when %d bytes remain (file=%s, size=%d)",0x09D1A9DA
0x0769FA38,.rdata,Warning,880,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769FA60,ReadFile failed: Count=%lld Length=%lld Error=%s for file %s,0x09D1A9DB
0x0769FAE0,.rdata,Warning,889,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769FB00,ReadFile failed during precaching for file %s,0x09D1A9DC
0x0769FB60,.rdata,Error,896,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769FB80,ReadFile beyond EOF %lld+%lld/%lld for file %s,0x09D1A9DD
0x0769FC88,.rdata,Error,1048,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\FileManagerGeneric.cpp,0x0769FCA8,%s: %s (%s),0x09D1A9DE
0x0769FD10,.rdata,VeryVerbose,56,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x0769FD30,Tell %s,0x09D1A9E4
0x0769FDA0,.rdata,VeryVerbose,60,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x0769FDC0,Tell return %lld [%fms],0x09D1A9E5
0x0769FDF0,.rdata,VeryVerbose,65,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x0769FE10,Seek %s %lld,0x09D1A9E6
0x0769FE30,.rdata,VeryVerbose,69,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x0769FE50,Seek return %d [%fms],0x09D1A9E7
0x0769FE80,.rdata,VeryVerbose,74,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x0769FEA0,SeekFromEnd %s %lld,0x09D1A9E8
0x0769FEC8,.rdata,VeryVerbose,78,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x0769FEE8,SeekFromEnd return %d [%fms],0x09D1A9E9
0x0769FF28,.rdata,VeryVerbose,83,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x0769FF48,Read %s %lld,0x09D1A9EA
0x0769FF68,.rdata,VeryVerbose,87,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x0769FF88,Read return %d [%fms],0x09D1A9EB
0x0769FFB8,.rdata,VeryVerbose,92,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x0769FFD8,Write %s %lld,0x09D1A9EC
0x0769FFF8,.rdata,VeryVerbose,96,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x076A0018,Write return %d [%fms],0x09D1A9ED
0x076A0048,.rdata,Verbose,101,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x076A0068,Size %s,0x09D1A9EE
0x076A0078,.rdata,Verbose,105,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x076A0098,Size return %lld [%fms],0x09D1A9EF
0x076A00C8,.rdata,Verbose,110,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x076A00E8,Flush %s %s,0x09D1A9F0
0x076A0100,.rdata,Verbose,114,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x076A0120,Flush return %d [%fms],0x09D1A9F1
0x076A0170,.rdata,Verbose,119,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x076A0190,Truncate %s %lld,0x09D1A9F2
0x076A01B8,.rdata,Verbose,123,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x076A01D8,Truncate return %d [%fms],0x09D1A9F3
0x076A0210,.rdata,Verbose,128,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x076A0230,ShrinkBuffers %s,0x09D1A9F4
0x076A0258,.rdata,Verbose,132,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Public\HAL\IPlatformFileLogWrapper.h,0x076A0278,ShrinkBuffers return [%fms],0x09D1A9F5
0x076A02C0,.rdata,Log,87,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\IPlatformFileLogWrapper.cpp,0x076A02E0,Close %s,0x09D1A9F6
0x076A04A0,.rdata,Fatal,188,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp,0x076A04C0,"MallocBinned2 Corruption Canary was 0x%x, should be 0x%x",0x09D1A9F7
0x076A0598,.rdata,Fatal,197,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp,0x076A05C0,"MallocBinned2 Corruption Canary was 0x%x, should be 0x%x. This block is both preexisting and guaranteed to be new; which makes no sense.",0x09D1A9F8
0x076A06D8,.rdata,Fatal,203,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp,0x076A0700,"MallocBinned2 Corruption Canary was 0x%x, will be 0x%x because this block should be preexisting and in use.",0x09D1A9F9
0x076A07D8,.rdata,Fatal,208,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp,0x076A0800,"MallocBinned2 Corruption Canary was 0x%x, should be 0x%x because this block should be preexisting.",0x09D1A9FA
0x076A08C8,.rdata,Fatal,217,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp,0x076A08F0,"MallocBinned2 Corruption Canary was 0x%x, will be 0x%x. This block is guaranteed to be new yet is it already assigned.",0x09D1A9FB
0x076A09E0,.rdata,Fatal,222,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp,0x076A0A00,"MallocBinned2 Corruption Canary was 0x%x, will be 0x%x does not have an expected value.",0x09D1A9FC
0x076A0AB0,.rdata,Fatal,502,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp,0x076A0AD0,FMallocBinned2 Attempt to free an unrecognized small block %p,0x09D1A9FD
0x076A0B50,.rdata,Fatal,944,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp,0x076A0B70,FMallocBinned2 alignment was too large for OS. Alignment=%d   Ptr=%p,0x09D1AA45
