
######## global 0x099D36A0: 114 disp32 cands, 109 verified insns
  0x03155222  fn 0x031551CC..0x0315527B [WRITE] test dword ptr [rip + 0x687e47c], eax
  0x0315535A  fn 0x03155304..0x031553B0 [WRITE] test dword ptr [rip + 0x687e344], eax
  0x031554A1  fn 0x031553F0..0x031555CD [WRITE] test dword ptr [rip + 0x687e1fd], eax
  0x03155B01  fn 0x03155A50..0x03155C2D [WRITE] test dword ptr [rip + 0x687db9d], eax
  0x03155C8A  fn 0x03155C30..0x03155CED [WRITE] test dword ptr [rip + 0x687da14], eax
  0x03155D3E  fn 0x03155CF0..0x03155D91 [WRITE] test dword ptr [rip + 0x687d960], eax
  0x03155DFC  fn 0x03155DA0..0x03155EDB [WRITE] test dword ptr [rip + 0x687d8a2], eax
  0x031560FC  fn 0x031560A0..0x031561DB [WRITE] test dword ptr [rip + 0x687d5a2], eax
  0x0315624A  fn 0x031561E0..0x0315637F [WRITE] test dword ptr [rip + 0x687d454], eax
  0x031563EA  fn 0x03156380..0x0315651F [WRITE] test dword ptr [rip + 0x687d2b4], eax
  0x0315665C  fn 0x03156600..0x0315673B [WRITE] test dword ptr [rip + 0x687d042], eax
  0x0315679C  fn 0x03156740..0x0315687B [WRITE] test dword ptr [rip + 0x687cf02], eax
  0x031568EA  fn 0x03156880..0x031569F8 [WRITE] test dword ptr [rip + 0x687cdb4], eax
  0x03156A6A  fn 0x03156A00..0x03156B78 [WRITE] test dword ptr [rip + 0x687cc34], eax
  0x03156BCF  fn 0x03156B80..0x03156C22 [WRITE] test dword ptr [rip + 0x687cacf], eax
  0x03156C87  fn 0x03156C30..0x03156CE2 [WRITE] test dword ptr [rip + 0x687ca17], eax
  0x03156D3F  fn 0x03156CF0..0x03156D92 [WRITE] test dword ptr [rip + 0x687c95f], eax
  0x03156DFC  fn 0x03156DA0..0x03156EDB [WRITE] test dword ptr [rip + 0x687c8a2], eax
  0x03156F3C  fn 0x03156EE0..0x0315701B [WRITE] test dword ptr [rip + 0x687c762], eax
  0x031570CF  fn 0x03157075..0x03157221 [WRITE] test dword ptr [rip + 0x687c5cf], eax
  0x031575B1  fn 0x03157510..0x03157637 [WRITE] test dword ptr [rip + 0x687c0ed], eax
  0x03157C0C  fn 0x03157BB0..0x03157CEB [WRITE] test dword ptr [rip + 0x687ba92], eax
  0x03157D5A  fn 0x03157CF0..0x03157E68 [WRITE] test dword ptr [rip + 0x687b944], eax
  0x0315813C  fn 0x031580E0..0x0315821B [WRITE] test dword ptr [rip + 0x687b562], eax
  0x0315827C  fn 0x03158220..0x0315835B [WRITE] test dword ptr [rip + 0x687b422], eax
  0x031583BC  fn 0x03158360..0x0315849B [WRITE] test dword ptr [rip + 0x687b2e2], eax
  0x031584FC  fn 0x031584A0..0x031585DB [WRITE] test dword ptr [rip + 0x687b1a2], eax
  0x0315863C  fn 0x031585E0..0x0315871B [WRITE] test dword ptr [rip + 0x687b062], eax
  0x0315EBE8  fn 0x0315EB80..0x0315EC62 [WRITE] test dword ptr [rip + 0x6874ab6], eax
  0x031667B3  fn 0x03166770..0x03166806 [WRITE] test dword ptr [rip + 0x686ceeb], eax
  0x03167152  fn 0x03167100..0x031671AD [WRITE] test dword ptr [rip + 0x686c54c], eax
  0x03378CEE  fn 0x03378C30..0x03378D01 [WRITE] test dword ptr [rip + 0x665a9b0], eax
  0x03382C10  fn 0x03382846..0x03383037 [WRITE] test dword ptr [rip + 0x6650a8e], eax
  0x0338309D  fn 0x03383059..0x033830F2 [WRITE] test dword ptr [rip + 0x6650601], eax
  0x033831FD  fn 0x033831A0..0x03383246 [WRITE] test dword ptr [rip + 0x66504a1], eax
  0x0338C9E6  fn 0x0338C990..0x0338CA18 [WRITE] test dword ptr [rip + 0x6646cb8], eax
  0x0341633F  fn 0x034161B8..0x034163BB [WRITE] test dword ptr [rip + 0x65bd35f], eax
  0x035AA19A  fn 0x035AA140..0x035AA1F9 [WRITE] test dword ptr [rip + 0x6429504], eax
  0x035AA794  fn 0x035AA752..0x035AA808 [WRITE] test dword ptr [rip + 0x6428f0a], eax
  0x035B3B07  fn 0x035B3AD9..0x035B3B1C [WRITE] test dword ptr [rip + 0x641fb97], eax
  0x035B3C21  fn 0x035B3BB1..0x035B3CB2 [WRITE] test dword ptr [rip + 0x641fa7d], eax
  0x035DEC28  fn 0x035DEBC0..0x035DECA3 [WRITE] test dword ptr [rip + 0x63f4a76], eax
  0x035DED18  fn 0x035DECB0..0x035DED93 [WRITE] test dword ptr [rip + 0x63f4986], eax
  0x0362AFF5  fn 0x0362ADC0..0x0362B0D4 [WRITE] test dword ptr [rip + 0x63a86a9], eax
  0x0362B038  fn 0x0362ADC0..0x0362B0D4 [WRITE] test dword ptr [rip + 0x63a8666], eax
  0x0363FBF6  fn 0x0363FBB0..0x0363FC74 [WRITE] test dword ptr [rip + 0x6393aa8], eax
  0x0371CEF0  fn 0x0371CEB9..0x0371CF0A [WRITE] test dword ptr [rip + 0x62b67ae], eax
  0x03A69EF6  fn 0x03A69E16..0x03A6A037 [WRITE] test dword ptr [rip + 0x5f697a8], eax
  0x03A83949  fn 0x03A838E0..0x03A83972 [WRITE] test dword ptr [rip + 0x5f4fd55], eax
  0x03A8579A  fn 0x03A85700..0x03A85A0C [WRITE] test dword ptr [rip + 0x5f4df04], eax
  0x03A85BCC  fn 0x03A85B00..0x03A85D86 [WRITE] test dword ptr [rip + 0x5f4dad2], eax
  0x03A8B0A3  fn 0x03A8B03D..0x03A8B12B [WRITE] test dword ptr [rip + 0x5f485fb], eax
  0x03CAD480  fn 0x03CAD3D0..0x03CAD4AB [WRITE] test dword ptr [rip + 0x5d2621e], eax
  0x03CAD547  fn 0x03CAD509..0x03CAD603 [WRITE] test dword ptr [rip + 0x5d26157], eax
  0x03DC32F0  fn 0x03DC3290..0x03DC3318 [WRITE] test dword ptr [rip + 0x5c103ae], eax
  0x03DC3408  fn 0x03DC33D5..0x03DC34CE [WRITE] test dword ptr [rip + 0x5c10296], eax
  0x041C4767  fn 0x041C4720..0x041C47A7 [WRITE] test dword ptr [rip + 0x580ef37], eax
  0x043A0DAD  fn 0x043A0D4C..0x043A0DDD [WRITE] test dword ptr [rip + 0x56328f1], eax
  0x046BE7C7  fn 0x046BE790..0x046BE7D9 [WRITE] test dword ptr [rip + 0x5314ed7], eax
  0x046BE837  fn 0x046BE800..0x046BE849 [WRITE] test dword ptr [rip + 0x5314e67], eax
  0x046BE8B7  fn 0x046BE880..0x046BE8C9 [WRITE] test dword ptr [rip + 0x5314de7], eax
  0x046BE927  fn 0x046BE8F0..0x046BE93F [WRITE] test dword ptr [rip + 0x5314d77], eax
  0x046C4217  fn 0x046C41E0..0x046C4229 [WRITE] test dword ptr [rip + 0x530f487], eax
  0x046C429B  fn 0x046C4260..0x046C42AD [WRITE] test dword ptr [rip + 0x530f403], eax
  0x046C4317  fn 0x046C42E0..0x046C4329 [WRITE] test dword ptr [rip + 0x530f387], eax
  0x046C438B  fn 0x046C4350..0x046C439D [WRITE] test dword ptr [rip + 0x530f313], eax
  0x046C6117  fn 0x046C60E0..0x046C6129 [WRITE] test dword ptr [rip + 0x530d587], eax
  0x046C6187  fn 0x046C6150..0x046C6199 [WRITE] test dword ptr [rip + 0x530d517], eax
  0x046C8167  fn 0x046C8130..0x046C8179 [WRITE] test dword ptr [rip + 0x530b537], eax
  0x046C97D8  fn 0x046C97A0..0x046C97EF [WRITE] test dword ptr [rip + 0x5309ec6], eax
  0x046C9868  fn 0x046C9830..0x046C987F [WRITE] test dword ptr [rip + 0x5309e36], eax
  0x046C98F8  fn 0x046C98C0..0x046C990F [WRITE] test dword ptr [rip + 0x5309da6], eax
  0x046C9996  fn 0x046C9950..0x046C9A0C [WRITE] test dword ptr [rip + 0x5309d08], eax
  0x046CB632  fn 0x046CB600..0x046CB645 [WRITE] test dword ptr [rip + 0x530806c], eax
  0x046CB6C2  fn 0x046CB690..0x046CB6D5 [WRITE] test dword ptr [rip + 0x5307fdc], eax
  0x046CB752  fn 0x046CB720..0x046CB765 [WRITE] test dword ptr [rip + 0x5307f4c], eax
  0x046CC1B7  fn 0x046CC180..0x046CC1C9 [WRITE] test dword ptr [rip + 0x53074e7], eax
  0x04C93021  fn 0x04C92DE7..0x04C93486 [WRITE] test dword ptr [rip + 0x4d4067d], eax
  0x04C933C1  fn 0x04C92DE7..0x04C93486 [WRITE] test dword ptr [rip + 0x4d402dd], eax
  0x04C93889  fn 0x04C937A0..0x04C9392D [WRITE] test dword ptr [rip + 0x4d3fe15], eax
  0x05710952  fn 0x05710915..0x05710961 [WRITE] test dword ptr [rip + 0x42c2d4c], eax
  0x05710BFB  fn 0x05710AD2..0x05710C7D [WRITE] test dword ptr [rip + 0x42c2aa3], eax
  0x05710D3B  fn 0x05710CA0..0x05710EC0 [WRITE] test dword ptr [rip + 0x42c2963], eax
  0x0572B50D  fn 0x0572B416..0x0572B72E [WRITE] test dword ptr [rip + 0x42a8191], eax
  0x057379C8  fn 0x0573798B..0x05737A29 [WRITE] test dword ptr [rip + 0x429bcd6], eax
  0x05C06601  fn 0x05C064CF..0x05C0666F [WRITE] test dword ptr [rip + 0x3dcd09d], eax

######## global 0x099D36A8: 50 disp32 cands, 48 verified insns
  0x012398D4  fn 0x012398C2..0x01239980 [WRITE] mov dword ptr [rip + 0x8799dce], ecx
  0x01239B88  fn 0x01239B76..0x01239C33 [WRITE] mov dword ptr [rip + 0x8799b1a], ecx
  0x01258FAE  fn 0x01258F70..0x0125901C [WRITE] mov dword ptr [rip + 0x877a6f3], r8d
  0x01360ECA  fn 0x01360E80..0x01360F95 [WRITE] test dword ptr [rip + 0x86727d8], eax

######## global 0x099D36AC: 4 disp32 cands, 5 verified insns
  0x012356F5  fn 0x012356B0..0x01235805 [WRITE] cmp dword ptr [rip + 0x879dfb1], ebp
  0x01235869  fn 0x01235810..0x01235983 [WRITE] cmp dword ptr [rip + 0x879de3c], r14d
  0x012398F6  fn 0x012398C2..0x01239980 [WRITE] cmp dword ptr [rip + 0x8799db0], ebx
  0x01239BAA  fn 0x01239B76..0x01239C33 [WRITE] cmp dword ptr [rip + 0x8799afc], ebx
  0x01258FD7  fn 0x01258F70..0x0125901C [WRITE] cmp dword ptr [rip + 0x877a6ce], 0
