
######## global 0x09E38920: 77 disp32 cands, 74 verified insns
  0x039E58EF  fn 0x039E5190..0x039E63F6 [read ] lea rcx, [rip + 0x645302a]
  0x039E5D32  fn 0x039E5190..0x039E63F6 [read ] lea rcx, [rip + 0x6452be7]
  0x039E6274  fn 0x039E5190..0x039E63F6 [read ] lea rcx, [rip + 0x64526a5]
  0x039E832C  fn 0x039E81E1..0x039E8363 [read ] lea rcx, [rip + 0x64505ed]
  0x039E8CF1  fn 0x039E8CE0..0x039E8D02 [read ] lea rcx, [rip + 0x644fc28]
  0x039EB044  fn 0x039EAF30..0x039EB06A [read ] lea rcx, [rip + 0x644d8d5]
  0x03CDA907  fn 0x03CDA880..0x03CDA92E [read ] lea rcx, [rip + 0x615e012]
  0x03F70B2F  fn 0x03F70770..0x03F70D89 [read ] lea rcx, [rip + 0x5ec7dea]
  0x03F70C23  fn 0x03F70770..0x03F70D89 [read ] lea rcx, [rip + 0x5ec7cf6]
  0x03F70D56  fn 0x03F70770..0x03F70D89 [read ] lea rcx, [rip + 0x5ec7bc3]
  0x040333F7  fn 0x04032CDE..0x04034862 [read ] lea rcx, [rip + 0x5e05522]
  0x04033746  fn 0x04032CDE..0x04034862 [read ] lea rcx, [rip + 0x5e051d3]
  0x07578C32  fn 0x07578C10..0x07578C51 [read ] lea rcx, [rip + 0x28bfce7]

######## global 0x09E38924: 60 disp32 cands, 60 verified insns
  0x011CC039  fn 0x011CC000..0x011CC1F2 [read ] mov eax, dword ptr [rip + 0x8c6c8e5]
  0x011CC042  fn 0x011CC000..0x011CC1F2 [read ] mov r9d, dword ptr [rip + 0x8c6c8db]
  0x0120F0C2  fn 0x0120F070..0x0120F0D5 [read ] mov eax, dword ptr [rip + 0x8c2985c]
  0x0121675F  fn 0x01216710..0x01216772 [read ] mov eax, dword ptr [rip + 0x8c221bf]
  0x01225462  fn 0x01225400..0x01225472 [read ] mov eax, dword ptr [rip + 0x8c134bc]
  0x0129B3F3  fn 0x0129B2F0..0x0129B4B4 [read ] mov eax, dword ptr [rip + 0x8b9d52b]
  0x012B12BF  fn 0x012B1170..0x012B134F [read ] mov eax, dword ptr [rip + 0x8b8765f]
  0x01357579  fn 0x01357280..0x01358E20 [read ] mov eax, dword ptr [rip + 0x8ae13a5]
  0x01357B01  fn 0x01357280..0x01358E20 [read ] mov eax, dword ptr [rip + 0x8ae0e1d]
