cls,func,flags,thunk,impl,verdict,detail,how,sig,nprop,ssz,params,isize
ALokiPlayerCheats,EnableHotkeyCheats,Final|Exec|Native|Public,0x5424670,0x55d39b0,REAL,"7 ins, 0 calls, 25 B, sweep-to-ret (NO .pdata entry)  [ICF mult=1]",direct &ALokiPlayerCheats::EnableHotkeyCheats,(double Enabled)  ->  void,1,8,0x09c08490,25
ALokiPlayerCheats,GetAbilitySystemComponent,Final|Native|Public|BlueprintCallable|BlueprintPure|Const,0x54071c0,0xf7eb50,ZERO_STUB,"xor eax,eax; ret -- 0 / nullptr  [ICF mult=41]",direct &ALokiPlayerCheats::GetAbilitySystemComponent,()  ->  fn@0x52901e0*,1,8,0x09c084d0,3
ALokiPlayerCheats,GetActorsByName,Final|Native|Public|BlueprintCallable,0x5424730,0x55d4c40,REAL,"66 ins, 11 calls, 231 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::GetActorsByName,"(FString Name, FString NamePrefix, bool bAllowExtraCharacters)  ->  TArray<TSubclassOf<fn@0x1233dc0>>",5,56,0x09c08510,231
ALokiPlayerCheats,GetClientCursorLocation,Final|Native|Protected|HasDefaults|BlueprintCallable|BlueprintPure|Const,0x5424970,0x55d5b50,REAL,"37 ins, 5 calls, 127 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::GetClientCursorLocation,()  ->  FEChaosBreakingSortMethod,1,24,0x09c08550,127
ALokiPlayerCheats,GetGameplayEffectsByName,Final|Native|Public|BlueprintCallable,0x5424b40,0x55d8580,REAL,"66 ins, 11 calls, 231 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::GetGameplayEffectsByName,"(FString Name, FString NamePrefix, bool bAllowExtraCharacters)  ->  TArray<TSubclassOf<fn@0x1233dc0>>",5,56,0x09c08590,231
ALokiPlayerCheats,GetHeroCharacter,Final|Native|Public|BlueprintCallable|BlueprintPure|Const,0x54071c0,0xf7eb50,ZERO_STUB,"xor eax,eax; ret -- 0 / nullptr  [ICF mult=41]",direct &ALokiPlayerCheats::GetHeroCharacter,()  ->  fn@0x52811d0*,1,8,0x09c085d0,3
ALokiPlayerCheats,GetLocalLokiPlayerCheatsBP,Final|Native|Static|Public|BlueprintCallable|BlueprintPure,0x5424f70,0xf7eb50,ZERO_STUB,"xor eax,eax; ret -- 0 / nullptr  [ICF mult=41]",direct &ALokiPlayerCheats::GetLocalLokiPlayerCheatsBP,(UExpandableArea* WorldContextObject)  ->  fn@0x54176c0*,2,16,0x09c08610,3
ALokiPlayerCheats,GetObjectsByName,Final|Native|Public|BlueprintCallable,0x5425030,0x55d9940,REAL,"66 ins, 11 calls, 231 B, sweep-to-ret (NO .pdata entry)  [ICF mult=1]",direct &ALokiPlayerCheats::GetObjectsByName,"(FString Name, FString NamePrefix, bool bAllowExtraCharacters)  ->  TArray<TSubclassOf<fn@0x1233dc0>>",5,56,0x09c08650,231
ALokiPlayerCheats,GetPlayerController,Final|Native|Public|BlueprintCallable|BlueprintPure|Const,0x54071c0,0xf7eb50,ZERO_STUB,"xor eax,eax; ret -- 0 / nullptr  [ICF mult=41]",direct &ALokiPlayerCheats::GetPlayerController,()  ->  fn@0x527c780*,1,8,0x09c08690,3
ALokiPlayerCheats,GetPlayerState,Final|Native|Public|BlueprintCallable|BlueprintPure|Const,0x54071c0,0xf7eb50,ZERO_STUB,"xor eax,eax; ret -- 0 / nullptr  [ICF mult=41]",direct &ALokiPlayerCheats::GetPlayerState,()  ->  GameEvent_LivingStateChange_Character*,1,8,0x09c086d0,3
ALokiPlayerCheats,GetUnusedTeamIndex,Final|BlueprintAuthorityOnly|Native|Public|BlueprintCallable|BlueprintPure,0x54252d0,0x55db2a0,REAL,"50 ins, 4 calls, 192 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::GetUnusedTeamIndex,(const UExpandableArea* WorldContextObject)  ->  int32,2,16,0x09c08710,192
ALokiPlayerCheats,HeightMapVisualize,Final|Exec|Native|Public,0x5425450,0x55dccf0,REAL,"16 ins, 1 calls, 49 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::HeightMapVisualize,(int32 Enabled)  ->  void,1,4,0x09c08750,49
ALokiPlayerCheats,HeightMapVisualizeHideAbyss,Final|Exec|Native|Public,0x54254e0,0x55dcd30,REAL,"16 ins, 1 calls, 49 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::HeightMapVisualizeHideAbyss,(int32 Enabled)  ->  void,1,4,0x09c08790,49
ALokiPlayerCheats,HeightMapVisualizeRadius,Final|Exec|Native|Public,0x5425570,0x55dcd70,REAL,"15 ins, 1 calls, 56 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::HeightMapVisualizeRadius,(double Radius)  ->  void,1,8,0x09c087d0,56
ALokiPlayerCheats,HotkeyCheatsEnabledOnly,Final|Native|Public|HasOutParms|BlueprintCallable,0x5421a70,0x1f67df0,TRIVIAL,"2 ins, 4 B, sweep-to-ret (NO .pdata entry) :: mov byte ptr [rdx], 1; ret   [ICF mult=2]",direct &ALokiPlayerCheats::HotkeyCheatsEnabledOnly,(out fn@0x54176d0 OutputExecs)  ->  void,2,1,0x09c08810,4
ALokiPlayerCheats,IsForceDisplayCharacterNameEnabled,Final|Native|Public|BlueprintCallable|BlueprintPure|Const,0x52fd980,0xf7eb60,FALSE_STUB,"xor al,al; ret -- always false  [ICF mult=75]",direct &ALokiPlayerCheats::IsForceDisplayCharacterNameEnabled,()  ->  bool,1,1,0x09c08850,3
ALokiPlayerCheats,LogActorsAtWorldOrigin,Final|Exec|Native|Public|BlueprintCallable,0x5254180,0xf7ec20,RET_STUB,ret 0 -- empty body  [ICF mult=371],direct &ALokiPlayerCheats::LogActorsAtWorldOrigin,()  ->  void,0,0,0x09c08890,3
ALokiPlayerCheats,LogActorsInRadiusNear,Final|Exec|Native|Public|HasOutParms|HasDefaults|BlueprintCallable,0x5425800,0xf7ec20,RET_STUB,ret 0 -- empty body  [ICF mult=371],direct &ALokiPlayerCheats::LogActorsInRadiusNear,"(const out FEChaosBreakingSortMethod Position, double Radius)  ->  void",2,32,0x09c088d0,3
ALokiPlayerCheats,Note,Final|Exec|Native|Public,0x5425b70,0x55df3e0,REAL,"28 ins, 2 calls, 113 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::Note,(FString Comment)  ->  void,1,16,0x09c08910,113
ALokiPlayerCheats,ReceiveBoostPlayer,Event|Public|BlueprintEvent,,,NO_TABLE_ENTRY,name absent from native-fn table,,()  ->  void,0,0,0x09c08950,0
ALokiPlayerCheats,ReceiveInitializeAfterController,Event|Public|BlueprintEvent,,,NO_TABLE_ENTRY,name absent from native-fn table,,()  ->  void,0,0,0x09c08990,0
ALokiPlayerCheats,RequestGameplayTag,Final|Native|Public|HasOutParms|BlueprintCallable|BlueprintPure,0x54261d0,0x4432360,REAL,"8 ins, 1 calls, 24 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::RequestGameplayTag,"(FString TagString, out FULokiHeroBarkComponent OutTag)  ->  bool",3,32,0x09c089d0,24
ALokiPlayerCheats,RequestStatusDump,Final|Exec|Native|Public,0x5426340,0x55e3f30,REAL,"18 ins, 3 calls, 57 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::RequestStatusDump,()  ->  void,0,0,0x09c08a10,57
ALokiPlayerCheats,RequestStatusDumpCursor,Final|Exec|Native|Public,0x5426360,0x55e3f70,REAL,"4 ins, 1 calls, 14 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::RequestStatusDumpCursor,()  ->  void,0,0,0x09c08a50,14
ALokiPlayerCheats,ServerBoostPlayer,Net|NetReliable|Native|Event|Public|NetServer|BlueprintCallable,0x3702560,0x541bad0,REAL,"16 ins, 1 calls, 60 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerBoostPlayer,()  ->  void,0,0,0x09c08a90,60
ALokiPlayerCheats,ServerChangeHero,Net|NetReliable|Native|Event|Public|NetServer,0x5426630,0x541bb10,REAL,"44 ins, 5 calls, 162 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerChangeHero,(FString HeroName)  ->  void,1,16,0x09c08ad0,162
ALokiPlayerCheats,ServerCheatChangeGliderCosmetic,Net|NetReliable|Native|Event|Public|NetServer|HasDefaults|BlueprintCallable,0x54266d0,0x541bbc0,REAL,"18 ins, 2 calls, 67 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerCheatChangeGliderCosmetic,(const Ffn@0x11a6d90 CosmeticAsset)  ->  void,1,16,0x09c08b10,67
ALokiPlayerCheats,ServerCheatChangeHero,Net|NetReliable|Native|Event|Public|NetServer|BlueprintCallable,0x5426760,0x541bc10,REAL,"26 ins, 3 calls, 95 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerCheatChangeHero,(TSubclassOf<fn@0x1233dc0> HeroClass)  ->  void,1,8,0x09c08b50,95
ALokiPlayerCheats,ServerCheatChangeHeroCosmetic,Net|NetReliable|Native|Event|Public|NetServer|HasDefaults|BlueprintCallable,0x5426810,0x541bc70,REAL,"18 ins, 2 calls, 67 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerCheatChangeHeroCosmetic,(const Ffn@0x11a6d90 CosmeticAsset)  ->  void,1,16,0x09c08b90,67
ALokiPlayerCheats,ServerCheatChangeSpikeVFXCosmetic,Net|NetReliable|Native|Event|Public|NetServer|HasDefaults|BlueprintCallable,0x54268a0,0x541bcc0,REAL,"18 ins, 2 calls, 67 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerCheatChangeSpikeVFXCosmetic,(const Ffn@0x11a6d90 CosmeticAsset)  ->  void,1,16,0x09c08bd0,67
ALokiPlayerCheats,ServerCheatChangeWispCosmetic,Net|NetReliable|Native|Event|Public|NetServer|HasDefaults|BlueprintCallable,0x5426930,0x541bd10,REAL,"18 ins, 2 calls, 67 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerCheatChangeWispCosmetic,(const Ffn@0x11a6d90 CosmeticAsset)  ->  void,1,16,0x09c08c10,67
ALokiPlayerCheats,ServerCheatNoCooldowns,Net|NetReliable|Native|Event|Public|NetServer,0x54269c0,0x541bd60,REAL,"17 ins, 2 calls, 63 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerCheatNoCooldowns,(bool bEnabled)  ->  void,1,1,0x09c08c50,63
ALokiPlayerCheats,ServerCheatSpawnActor,Net|NetReliable|Native|Event|Public|NetServer|HasDefaults|BlueprintCallable,0x5426a50,0x541bda0,REAL,"33 ins, 3 calls, 127 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerCheatSpawnActor,"(TSubclassOf<fn@0x1233dc0> ClassToSpawn, const FEChaosBreakingSortMethod Location)  ->  void",2,32,0x09c08c90,127
ALokiPlayerCheats,ServerCheatSpawnItem,Net|NetReliable|Native|Event|Public|NetServer|HasDefaults|BlueprintCallable,0x5426b40,0x541be20,REAL,"39 ins, 3 calls, 156 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerCheatSpawnItem,"(TSubclassOf<fn@0x1233dc0> ClassToSpawn, int32 StarCount, int32 TierNumber, const FEChaosBreakingSortMethod Location)  ->  void",4,40,0x09c08cd0,156
ALokiPlayerCheats,ServerNextHero,Net|NetReliable|Native|Event|Public|NetServer|BlueprintCallable,0x54272c0,0x541c320,REAL,"16 ins, 1 calls, 60 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerNextHero,()  ->  void,0,0,0x09c08d10,60
ALokiPlayerCheats,ServerNote,Net|NetReliable|Native|Event|Public|NetServer,0x46accd0,0x541c360,REAL,"44 ins, 5 calls, 162 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerNote,(FString Comment)  ->  void,1,16,0x09c08d50,162
ALokiPlayerCheats,ServerPreviousHero,Net|NetReliable|Native|Event|Public|NetServer|BlueprintCallable,0x44176d0,0x541c540,REAL,"16 ins, 1 calls, 60 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerPreviousHero,()  ->  void,0,0,0x09c08d90,60
ALokiPlayerCheats,ServerRequestStatusDump,Net|NetReliable|Native|Event|Public|NetServer,0x5427650,0x541c650,REAL,"17 ins, 2 calls, 64 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerRequestStatusDump,(fn@0x527cd40* Character)  ->  void,1,8,0x09c08dd0,64
ALokiPlayerCheats,ServerSpawnAndReplaceItem,Net|NetReliable|Native|Event|Public|NetServer|BlueprintCallable,0x5427b10,0x541c890,REAL,"34 ins, 3 calls, 130 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerSpawnAndReplaceItem,"(TSubclassOf<fn@0x1233dc0> ItemClass, FName SlotName, int32 SlotIndex)  ->  void",3,24,0x09c08e10,130
ALokiPlayerCheats,ServerTeleportLocation,Net|NetReliable|Native|Event|Public|NetServer|HasDefaults,0x5427d00,0x541c9a0,REAL,"22 ins, 2 calls, 88 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerTeleportLocation,"(FEChaosBreakingSortMethod Location, UDefaultLevelSequenceInstanceData* ActorToTeleport, fn@0x5364bc0 TeleportClampToGround)  ->  void",4,40,0x09c08e50,88
ALokiPlayerCheats,ServerToggleGameplayEffect,Net|NetReliable|Native|Event|Public|NetServer|BlueprintCallable,0x5427eb0,0x541ca40,REAL,"26 ins, 3 calls, 95 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerToggleGameplayEffect,(TSubclassOf<fn@0x1233dc0> EffectClass)  ->  void,1,8,0x09c08e90,95
ALokiPlayerCheats,ServerUpdateHype,Net|NetReliable|Native|Event|Public|NetServer|BlueprintCallable,0x38abd50,0x541cbf0,REAL,"16 ins, 1 calls, 60 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ServerUpdateHype,()  ->  void,0,0,0x09c08ed0,60
ALokiPlayerCheats,SetGamepadAimSettings,Final|Exec|Native|Public,0x5428180,0x55653e0,COVERAGE_BLOCKED,impl page 0x5565000 all-zero in all 11 dumps  [ICF mult=18],direct &ALokiPlayerCheats::SetGamepadAimSettings,"(float Sensitivity, float Deadzone, float InputRange, float ScreenPercent, bool bTwinStick)  ->  void",5,20,0x09c08f10,0
ALokiPlayerCheats,TestErrorMessage,Final|Exec|Native|Public,0x5317db0,0x55e74a0,REAL,"18 ins, 3 calls, 61 B, pdata  [ICF mult=2]",direct &ALokiPlayerCheats::TestErrorMessage,(FString TestMessage)  ->  void,1,16,0x09c08f50,61
ALokiPlayerCheats,TryInitializeAfterController,Final|Native|Public,0x5254180,0xf7ec20,RET_STUB,ret 0 -- empty body  [ICF mult=371],direct &ALokiPlayerCheats::TryInitializeAfterController,()  ->  void,0,0,0x09c08f90,3
ULokiClientPlayerCheats,CheatFakeLobbyRewardFlow,Final|Exec|Native|Public,0x5316250,0x55cf510,REAL,"22 ins, 3 calls, 79 B, pdata  [ICF mult=1]",direct &ULokiClientPlayerCheats::CheatFakeLobbyRewardFlow,()  ->  void,0,0,0x09bcc110,79
ULokiClientPlayerCheats,CheatLobbyAddBadge,Final|Exec|Native|Public,0x5316270,0x55cf560,REAL,"17 ins, 2 calls, 60 B, pdata  [ICF mult=1]",direct &ULokiClientPlayerCheats::CheatLobbyAddBadge,"(FName AssetType, FName AssetID)  ->  void",2,16,0x09bcc150,60
ULokiClientPlayerCheats,CheatResetClientProfile,Final|Exec|Native|Public,0x5316340,0x55cf5f0,REAL,"11 ins, 1 calls, 48 B, pdata  [ICF mult=1]",direct &ULokiClientPlayerCheats::CheatResetClientProfile,()  ->  void,0,0,0x09bcc190,48
ULokiClientPlayerCheats,TestDeeplink,Final|Exec|Native|Public,0x5317cc0,0x55e7470,REAL,"13 ins, 1 calls, 38 B, pdata  [ICF mult=1]",direct &ULokiClientPlayerCheats::TestDeeplink,(FString DeeplinkPath)  ->  void,1,16,0x09bcc1d0,38
ULokiClientPlayerCheats,TestErrorMessage,Final|Exec|Native|Public,0x5317db0,0x55e74a0,REAL,"18 ins, 3 calls, 61 B, pdata  [ICF mult=2]",direct &ULokiClientPlayerCheats::TestErrorMessage,(FString TestMessage)  ->  void,1,16,0x09bcc210,61
