class,name,thunk_rva,verdict,new_vs_v1,note
ALokiBaseItem,IsInLocalInventory,0x52CDB80,REAL,no,impl 0x52CDB80: 40534883ec20488b42204533c94885c0
ALokiBaseItem,IsInPlayerInventory,0x52CDBB0,REAL,no,impl 0x52CDBB0: 40534883ec20488b42204533c94885c0
ALokiBaseItem,IsItemRecommendedForHeroCharacter,0x52CDBE0,REAL,no,impl 0x52CDBE0: 405356574883ec4033ff498bf048897c
ALokiBaseItem,IsMoving,0x52CDD90,REAL,no,impl 0x52CDD90: 40534883ec20488b42204533c94885c0
ALokiBaseItem,IsPowerSlot,0x52CDDC0,REAL,no,impl 0x52CDDC0: 40534883ec20488b42204533c94885c0
ALokiBaseItem,IsValidItemLocation,0x52CDDF0,REAL,no,impl 0x52CDDF0: 48895c24084889742420574883ec4033
ALokiBaseItem,IsVisibleAfterDuping,0x52CDF10,REAL,no,impl 0x52CDF10: 40534883ec20488b42204533c94885c0
ALokiBaseItem,IsWeaponSlot,0x52CDF40,REAL,no,impl 0x52CDF40: 40534883ec20488b42204533c94885c0
ALokiBaseItem,ItemTierChanged,0x52CDF70,REAL,no,impl 0x52CDF70: 488b42204533c04885c0410f95c04c03
ALokiBaseItem,ItemUpdated,0x52CDF90,REAL,no,impl 0x52CDF90: 488b42204533c04885c0410f95c04c03
ALokiBaseItem,MeetsRequirementsForUniqueEffectAtIndex,0x52CE020,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnAuthSpellActivated,0x52CE130,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnAuthUseItem,0x52CE150,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnCanEnterInventory,0x52CE1F0,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnCanExitInventory,0x52CE2C0,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnCanPlayerPickUp,0x52CE350,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnCanUseItem,0x3809FE0,REAL,no,impl 0x3809FE0: 48895c2410488974241848897c242041
ALokiBaseItem,OnMaxStacksChanged,0x52CE3F0,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnRep_CurrentInventoryActor,0x52CE4C0,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnRep_CurrentStacks,0x52CE4E0,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnRep_CurrentXP,0x52CE570,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnRep_DropOnDeath,0x52CE600,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnRep_InventoryEffects,0x52CE6B0,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnRep_MaxStacks,0x52CE6D0,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnRep_PlayerStateDupeArray,0x52CE760,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnRep_RestingPosition,0x52CE780,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnRep_Soulbound,0x52CE7A0,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnRep_TierNumber,0x52CE830,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnStacksChanged,0x52CE8C0,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,OnTossInstigatorEndPlay,0x52CE990,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,PlayerStateDupeArrayChanged,0x38ABD50,DARK,no,page 0x38AB000 all-zero
ALokiBaseItem,RemoveInventoryEffect,0x52CEA60,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,SetCurrentStacks,0x52CEBF0,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,SetDropOnDeath,0x5296F30,STRIPPED,no,wrapper-hides-stub 0x5296F30 -> call 0xF7EC20 -> fold: void_ret (c2 00 00)
ALokiBaseItem,SetIsSoulbound,0x2F39F90,REAL,no,impl 0x2F39F90: 48895c24104889742418574883ec2033
ALokiBaseItem,SetItemSpell,0x52CECC0,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,SetMaxStacks,0x52CED70,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,SetStackRechargeTime,0x52CEE00,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,SetStacksRepresentCharges,0x52CEE80,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,ShouldExportForWeb,0x33215F0,DARK,no,page 0x3321000 all-zero
ALokiBaseItem,ShouldItemBeDuped,0x52CEF10,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,ShouldTransferInTakeAll,0x52CEFB0,DARK,no,page 0x52CE000 all-zero
ALokiBaseItem,SpawnLokiItem,0x52CF050,REAL,no,impl 0x52CF050: 48895c240855565741564157488bec48
ALokiBaseItem,StacksCanMerge,0x52CF250,REAL,no,impl 0x52CF250: 488b42204533c94885c0410f95c14c03
ALokiBaseItem,StartGarbageCollectionTimer,0x52CD470,REAL,no,impl 0x52CD470: 488b42204533c04885c0410f95c04c03
ALokiBaseItem,TimeUntilNextStackGrant,0x52CF290,REAL,no,impl 0x52CF290: 40534883ec20488b42204533c94885c0
ALokiBaseItem,Toss,0x52CF2C0,STRIPPED,no,wrapper-hides-stub 0x52CF2C0 -> call 0xF7EC20 -> fold: void_ret (c2 00 00)
ALokiBaseItem,TossAtLocation,0x52CF4A0,STRIPPED,no,wrapper-hides-stub 0x52CF4A0 -> call 0xF7EC20 -> fold: void_ret (c2 00 00)
ALokiBaseItem,TryUpdateMaxStacksForLevel,0x5254180,STRIPPED,no,wrapper-hides-stub 0x5254180 -> tail-jmp 0xF7EC20 -> fold: void_ret (c2 00 00)
ALokiBaseItem,UpdateCollision,0x52CF5E0,REAL,no,tail-call target 0x5643F10 on dark page 0x5643000; wrapper's own prologue looked real
ALokiBaseItem,uncher,0x2D41AE0,REAL,YES,impl 0x2D41AE0: 4883ec480f10114863490848030a6648
ALokiBaseItem,UpdateEnableAutoPickup,0x52CF600,REAL,no,tail-call target 0x5643F90 on dark page 0x5643000; wrapper's own prologue looked real
ALokiBaseItem,UpdateInventoryAbilitySystem,0x52CF620,REAL,no,impl 0x52CF620: 488b42204533c04885c0410f95c04c03
ALokiBaseItem,UpdateInventoryAbilitySystemComponentOnTierUpgrade,0x5254180,STRIPPED,no,wrapper-hides-stub 0x5254180 -> tail-jmp 0xF7EC20 -> fold: void_ret (c2 00 00)
ALokiBaseItem,UseItem,0x52CF640,REAL,no,impl 0x52CF640: 40534883ec20488b42204533c94885c0
ALokiBasePersistentCue,GetEffectAttachmentOffset,0x52D6300,DARK,no,page 0x52D6000 all-zero
ALokiBasePersistentCue,GetParticleEffectScale,0x52D6800,DARK,no,page 0x52D6000 all-zero
ALokiBasePersistentCue,HandleVO,0x52D70A0,REAL,no,impl 0x52D70A0: 48895c2410488974241848897c242055
