class,name,thunk_rva,verdict,new_vs_v1,note
UTypedElementHierarchyInterface,GetParentElement,0x1F7DEC0,REAL,no,impl 0x1F7DEC0: 4883ec28488b05c503ef074885c07522
ALandscapeProxy,SetVirtualTextureRenderPassType,0x2BD05B0,REAL,YES,impl 0x2BCCF00: 4c8bdc4883ec78488b0572c238074885
UMovieSceneSubSection,SetSequence,0x2D38010,REAL,no,impl 0x2D38010: 4883ec28488b05c5d422074885c07522
UMovieSceneSequencePlayer,StopAtCurrentTime,0x2C94520,REAL,no,impl 0x2C84200: 4c8bdc4883ec78488b05ba032e074885
UUniformInteger,SetUniformInteger,0x2D7B370,REAL,no,impl 0x2D7B370: 4883ec28488b0585ae1e074885c0751a
UGeometryCollection,SetEnableNanite,0x32D9980,REAL,no,impl 0x32D5C10: 4c8bdc4883ec78488b054a23ca064885
AGeometryCollectionActor,RaycastSingle,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UGeometryCollectionComponent,SetUseStaticMeshCollisionForTraces,0x2D8A3A0,REAL,no,impl 0x2D8A3A0: 4c8bdc4883ec78488b059ac61d074885
USequencerAnimationOverride,GetSequencerAnimSlotNames,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UMovieSceneComponentMaterialParameterSection,RemoveScalarParameter,0x2CE0620,REAL,no,impl 0x2C97D40: 4c8bdc4883ec78488b0562cc2c074885
UMovieSceneAudioSection,SetSuppressSubtitles,0x2CE0620,REAL,no,impl 0x2C97D40: 4c8bdc4883ec78488b0562cc2c074885
UMovieSceneCinematicShotSection,SetShotDisplayName,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UMovieSceneCameraCutSection,SetCameraBindingID,0x2CE0620,REAL,no,impl 0x2C97D40: 4c8bdc4883ec78488b0562cc2c074885
UMovieSceneCVarSection,SetFromString,0x2CE0620,REAL,no,impl 0x2C97D40: 4c8bdc4883ec78488b0562cc2c074885
UMovieSceneLevelVisibilitySection,SetVisibility,0x2CE0620,REAL,no,impl 0x2C97D40: 4c8bdc4883ec78488b0562cc2c074885
UMovieSceneAsyncAction_SequencePrediction,PredictWorldTransformAtTime,0x2C95720,REAL,no,impl 0x2C95720: 4883ec28488b05edf22c074885c0751a
UBackgroundBlurSlot,SetVerticalAlignment,0x3044860,REAL,no,impl 0x3044860: 4c8bdc4883ec78488b054a6bf2064885
UComboBoxKey,SetSelectedOption,0x30BF0C0,REAL,no,impl 0x30BF0C0: 4883ec28488b052dfcea064885c0751a
UBoolBinding,GetValue,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UUserListEntryLibrary,IsListItemSelected,0x11A53F0,REAL,no,impl 0x11A53F0: 4883ec28488b055d7bc5084885c0751a
UWidgetLayoutLibrary,SlotAsWrapBoxSlot,0x313B5E0,REAL,no,impl 0x313B5E0: 4883ec28488b05154fe3064885c0751a
USubmixEffectReverbPreset,SetSettingsWithReverbEffect,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UQuartzSubsystem,SetQuartzSubsystemTickableWhenPaused,0x31B87E0,REAL,no,impl 0x31B87E0: 4883ec28488b05f5a3db064885c0751a
UGameplayTagAssetInterface,HasMatchingGameplayTag,0x31E5E40,REAL,no,impl 0x31E5E40: 4883ec28488b05bdd3d8064885c07522
UMediaPlayer,SupportsSeeking,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
ULevelSequence,RemoveMetaDataByClass,0x32D9980,REAL,no,impl 0x32D5C10: 4c8bdc4883ec78488b054a23ca064885
ALevelSequenceActor,ShowBurnin,0x2C94500,REAL,no,impl 0x2C83FA0: 4c8bdc4883ec78488b056a072e074885
UFieldNotificationLibrary,SetPropertyValueAndBroadcastFields,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UPaperGroupedSpriteComponent,UpdateInstanceTransform,0x3338460,REAL,no,impl 0x3334170: 4c8bdc4883ec78488b05a294c4064885
UStreamableRenderAsset,SetForceMipLevelsToBeResident,0x32B3A10,REAL,YES,impl 0x32AE380: 4c8bdc4883ec78488b05b277cc064885
USkinnedMeshComponent,UnsetMeshDeformer,0x37A7E50,REAL,no,impl 0x377E0E0: 4c8bdc4883ec78488b050ae280064885
USoundWave,SetSoundAssetCompressionType,0x32D9990,REAL,no,impl 0x32D40B0: 4c8bdc4883ec78488b05c23eca064885
UStereoLayerComponent,SetUVRect,0x333BB00,REAL,no,impl 0x333BB00: 4883ec28488b05951fc4064885c0751a
AWorldSettings,OnRep_WorldGravityZ,0x32D9980,REAL,no,impl 0x32D5C10: 4c8bdc4883ec78488b054a23ca064885
UAvoidanceManager,RegisterMovementComponent,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UAnimationSettings,GetBoneCustomAttributeNamesToImport,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UAnimNotify,Received_Notify,0x11A7700,REAL,YES,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UAnimNotifyState_Trail,OverridePSTemplate,0x342B260,REAL,YES,impl 0x342B260: 488954241048894c2408555741544155
USkeleton,GetBlendProfile,0x32D9980,REAL,YES,impl 0x32D5C10: 4c8bdc4883ec78488b054a23ca064885
AAudioVolume,SetSubmixSendSettings,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UBlueprintSetLibrary,SetSetPropertyByName,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
ACharacter,UnCrouch,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UCharacterMovementComponent,SetWalkableFloorZ,0x332B4D0,REAL,no,impl 0x3329E70: 4c8bdc4883ec78488b05722fc5064885
UMeshComponent,SetVectorParameterValueOnMaterials,0x360AC90,REAL,YES,impl 0x360AC90: 4883ec28488b055db997064885c0751a
UPointLightComponent,SetUseInverseSquaredFalloff,0x360B100,REAL,no,impl 0x360B100: 4883ec28488b057db597064885c0751a
APostProcessVolume,AddOrUpdateBlendable,0x32D99B0,REAL,no,impl 0x32D4C70: 4c8bdc4883ec78488b054a33ca064885
UVolumetricCloudComponent,SetViewSampleCountScale,0x36B44C0,REAL,no,impl 0x36B44C0: 4883ec28488b05853b8d064885c07522
UCurveLinearColorAtlas,GetCurvePosition,0x3709B80,REAL,no,impl 0x3709B80: 4883ec28488b0575fd87064885c0751a
UDataDrivenCVarEngineSubsystem,OnDataDrivenCVarChanged__DelegateSignature,0x3712280,REAL,YES,impl 0x3712280: 48895c2408574883ec200fb64118488b
ADebugCameraController,ToggleDisplay,0x373B430,REAL,no,impl 0x373B430: 4883ec28488b0575ff84064885c0751a
ADecalActor,SetDecalMaterial,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UAutoDestroySubsystem,OnActorEndPlay,0x3780D10,REAL,no,impl 0x3780D10: 4883ec28488b057db680064885c0751a
UInputDeviceSubsystem,RemoveDevicePropertyHandles,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
ALocationVolume,Unload,0x3FC11F0,REAL,no,impl 0x3FA04D0: 4c8bdc4883ec78488b05f2e501064885
ALightWeightInstanceManager,OnSpawnedActorDestroyed,0x32AB6C0,REAL,no,impl 0x32A6CA0: 4c8bdc4883ec78488b0562e9cc064885
UMaterialParameterCollection,GetVectorParameterNames,0x3A11930,REAL,no,impl 0x3A11930: 4883ec28488b053da858064885c0751a
UNetPushModelHelpers,MarkPropertyDirtyFromRepIndex,0x3A83580,STRIPPED,no,wrapper-hides-stub 0x3A83580 -> call 0xF7EC20 -> fold: void_ret (c2 00 00)
APawn,SpawnDefaultController,0x3B6FCC0,REAL,YES,impl 0x3B6FCC0: 4883ec28488b05e55a43064885c0751a
USkeletalMesh,SetSkeleton,0x32D99A0,REAL,no,impl 0x32D6990: 4c8bdc4883ec78488b051216ca064885
USkinnedAsset,FindSocketInfo,0x32D9990,REAL,YES,impl 0x32D40B0: 4c8bdc4883ec78488b05c23eca064885
USoundBase,IsAttenuationSettingsEditable,0x32D9980,REAL,YES,impl 0x32D5C10: 4c8bdc4883ec78488b054a23ca064885
UStaticMesh,SetStaticMaterials,0x32D99A0,REAL,no,impl 0x32D6990: 4c8bdc4883ec78488b051216ca064885
ASpotLight,SetOuterConeAngle,0x3E32F90,REAL,YES,impl 0x3E32F90: 48895c24084889742410574883ec2048
UTexture,ComputeTextureSourceChannelMinMax,0x32D9980,REAL,YES,impl 0x32D5C10: 4c8bdc4883ec78488b054a23ca064885
UInputSettings,SaveKeyMappings,0x3F01CC0,REAL,no,impl 0x3F01CC0: 48895c2408574883ec20488d05ff1d35
URuntimeVirtualTexture,GetTileSize,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UDataLayerSubsystem,SetDataLayerStateByLabel,0x3F77570,REAL,no,impl 0x3F77570: 4883ec28488b059d6904064885c0751a
AWorldDataLayers,OnRep_LoadedDataLayerNames,0x3F76710,REAL,no,impl 0x3F78010: 4c8bdc4883ec78488b058a5d04064885
UGameplayTask,ReadyForActivation,0x4400E00,REAL,no,impl 0x4400850: 4c8bdc4883ec78488b0572a4be054885
UGameplayTask_TimeLimitedExecution,TaskFinishDelegate__DelegateSignature,0x4400EA0,REAL,YES,impl 0x4400EA0: 4883ec28488b05859dbe054885c07522
UGameplayTasksComponent,OnRep_ReplicatedTasks,0x4400E00,REAL,no,impl 0x4400850: 4c8bdc4883ec78488b0572a4be054885
UGameplayAbility,SetShouldBlockOtherAbilities,0x4400E00,REAL,no,impl 0x4400850: 4c8bdc4883ec78488b0572a4be054885
UNavigationSystemV1,UnregisterNavigationInvoker,0x45511B0,REAL,no,impl 0x45511B0: 4883ec28488b054dd8a9054885c0751a
UAnimationAttributeIdentifierExtensions,IsValid,0x4551D20,REAL,no,impl 0x4551D20: 4883ec28488b0595cda9054885c0751a
ANavModifierVolume,SetAreaClass,0x32FDD60,REAL,no,impl 0x32FAD60: 4c8bdc4883ec78488b0552fec7064885
UNavRelevantComponent,SetNavigationRelevancy,0x32FDD60,REAL,YES,impl 0x32FAD60: 4c8bdc4883ec78488b0552fec7064885
AAIController,UseBlackboard,0x45CF5E0,REAL,no,impl 0x45CF5E0: 4883ec28488b05dd03a2054885c0751a
UBTFunctionLibrary,StopUsingExternalEvent,0x45DE0D0,REAL,no,impl 0x45DE0D0: 4c8bdc4883ec78488b056a20a1054885
UBlackboardAssetProvider,GetBlackboardAsset,0xFA3B20,REAL,no,impl 0xFA3B20: 40534883ec20488d05cb83da07488bd9
UEnvQueryContext_BlueprintBase,ProvideSingleLocation,0x4608C30,REAL,YES,impl 0x4608C30: 4883ec28488b05857f9e054885c0751a
UEnvQueryInstanceBlueprintWrapper,SetNamedParam,0x45DA550,REAL,no,impl 0x45CFE70: 4c8bdc4883ec78488b0532fca1054885
UBrainComponent,StopLogic,0x46097A0,REAL,YES,impl 0x46097A0: 4883ec28488b054d759e054885c07522
UCrowdFollowingComponent,SuspendCrowdSteering,0x45DA540,REAL,no,impl 0x45CF8E0: 4c8bdc4883ec78488b053201a2054885
UPathFollowingComponent,OnNavDataRegistered,0x45DA520,REAL,no,impl 0x45CD660: 4c8bdc4883ec78488b05ca23a2054885
ANavLinkProxy,SetSmartLinkEnabled,0x457D740,REAL,no,impl 0x45507B0: 4c8bdc4883ec78488b0522e1a9054885
UAISense_Prediction,RequestPawnPredictionEvent,0x4665C50,REAL,no,impl 0x4665C50: 4c8bdc4883ec78488b05c2bd98054885
UAsyncActionHandleSaveGame,AsyncSaveGameToSlot,0x469AB60,REAL,no,impl 0x469AB60: 4883ec28488b05257a95054885c0751a
UObjectTickable,BP_Tick,0x46AE5D0,REAL,YES,impl 0x46AE5D0: 4883ec28488b05054a94054885c0751a
UProceduralMeshComponent,UpdateMeshSection_LinearColor,0x32D99A0,REAL,no,impl 0x32D6990: 4c8bdc4883ec78488b051216ca064885
UEnhancedInputLocalPlayerSubsystem,OnControlMappingsRebuilt__DelegateSignature,0x4BD1010,REAL,YES,impl 0x4BD1010: 4883ec28488b05cd5343054885c0751a
UDEPRECATED_UCommonVisibilityWidgetBase,GetRegisteredPlatforms,0x4C0F4C0,REAL,no,impl 0x4C0F4C0: 4883ec28488b054d7f3f054885c0751a
UCommonBoundActionButton,OnUpdateInputAction,0x4C0A610,REAL,YES,impl 0x4C0A3B0: 4c8bdc4883ec78488b05b2cb3f054885
UCommonRichTextBlock,SetScrollingEnabled,0x4C0BD00,REAL,no,impl 0x4C0BD00: 4883ec28488b0545b33f054885c0751a
UCommonBorderStyle,GetBackgroundBrush,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UCommonButtonBase,UpdateHoldData,0x4C0E1E0,REAL,no,impl 0x4C0E1E0: 4883ec28488b0555913f054885c07522
UCommonLoadGuard,SetLoadingText,0x4C10180,REAL,no,impl 0x4C10180: 4883ec28488b05ed733f054885c0751a
UBaseDynamicMeshComponent,SetViewModeOverridesEnabled,0x4EBB0F0,REAL,no,impl 0x4E655B0: 4c8bdc4883ec78488b05fa4d1a054885
UDynamicMesh,ResetToCube,0x4F1D790,REAL,no,impl 0x4F1E780: 4c8bdc4883ec78488b0552cc0e054885
UDynamicMeshComponent,ValidateMaterialSlots,0x32D99A0,REAL,no,impl 0x32D6990: 4c8bdc4883ec78488b051216ca064885
UModelingObjectsCreationAPI,CreateTextureObject,0x4F698E0,REAL,no,impl 0x4F698E0: 4883ec28488b0505290a054885c07522
UGeometryScriptLibrary_MeshDecompositionFunctions,SplitMeshByPolygroups,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UGeometryScriptLibrary_SceneUtilityFunctions,SetComponentMaterialList,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UWwiseGroupValueInfoLibrary,SetWwiseShortId,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UGameplayCameraSystemComponent,GetCameraSystemEvaluator,0x51EF410,REAL,no,impl 0x51EF410: 4883ec28488b05953ee2044885c07522
UGameplayCamerasSubsystem,StopCameraAnimation,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
AGameplayCameraActor,GetSceneComponent,0x51F1B80,REAL,no,impl 0x51F1B80: 4883ec28488b052d1be2044885c07522
UAsyncTaskCooldownChanged,ListenForCooldownChange,0x5240180,REAL,no,impl 0x5240180: 4883ec28488b05f541dd044885c0751a
UBattlepassLevelViewModel,UnsetClaimableReward,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UBattlepassViewManager,RefreshClaimableProgressionTrackRewards,0x524F5C0,REAL,no,impl 0x524F5C0: 48895c2408574883ec208bfa488bd9e8
AFogOfWarPrimitiveCollector,UnregisterFogOfWarPrimitive,0x5275E70,REAL,no,impl 0x5275E70: 4883ec28488b05e501da044885c0751a
UDiscordManager,UnlinkAccount,0x5421810,REAL,no,impl 0x5416300: 4c8bdc4883ec78488b057212c1044885
ULokiAimingVisComponent,SetGlidingLaser,0x5297E80,REAL,YES,impl 0x5297E80: 4883ec28488b058501d8044885c07522
ALokiAirship,TryToSitAsPassenger,0x5471D90,REAL,no,impl 0x5471C50: 4c8bdc4883ec78488b05f2a6bb044885
ULokiAnimationOverrides,ResolveOverrideSlot,0x52A5690,REAL,no,impl 0x52A5690: 4883ec28488b053534d7044885c0751a
ULokiAbilitySystemGlobals,GetFromContextObject,0x52A6420,REAL,no,impl 0x52A6420: 4883ec28488b057d27d7044885c0751a
ULokiBotSpawnerComponent,TrySpawnTeam,0x52E9EE0,REAL,no,impl 0x52E9EE0: 4c8bdc4883ec78488b055219d3044885
ULokiClientStatManager,GetClientStatManager,0x53122D0,REAL,no,impl 0x53122D0: 4883ec28488b05d5b8d0044885c0751a
ULokiColorLibrary,GetTeamColorWithQueryType,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
ULokiDataAsset_Emote,PickEmote,0x531FDD0,REAL,no,impl 0x531FDD0: 4883ec28488b05a5eacf044885c07522
ALokiGliderActor,Uninitialize,0x5320590,REAL,no,impl 0x5320590: 4883ec28488b05d5e3cf044885c0751a
ULokiDisplayableAbility,UsesCharges,0x31E47B0,REAL,no,impl 0x31E3300: 4c8bdc4883ec78488b0532fdd8064885
UDynamicMeshComponent,UpdateCollision,0x441B950,REAL,no,impl 0x441B840: 4c8bdc4883ec78488b0542fdbc054885
ALokiDropPlane,UpdatePlaneMovementAndCheckDone,0x5455ED0,REAL,no,impl 0x5451EA0: 4c8bdc4883ec78488b054a8abd044885
ULokiGameplaySpell,WantsCastRangeDisplay,0x531B1F0,REAL,YES,impl 0x535A910: 4c8bdc4883ec78488b059a68cc044885
ALokiGameStateBase,IsGoodTimeForGarbageCollectionBP,0x492E250,REAL,YES,impl 0x492E170: 4c8bdc4883ec78488b052a616c054885
ULokiGameUserSettings,SetVolumeSetting,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
ALokiHeroCharacter,WispShouldBeVisible,0x54F62A0,REAL,no,impl 0x54F20B0: 4c8bdc4883ec78488b054204b4044885
ULokiHomingForceTask,OnActorHitCallback,0x5307C70,REAL,no,impl 0x5304DA0: 4c8bdc4883ec78488b056281d1044885
ULokiHexahedronComponent,SetVertices,0x53A53D0,REAL,no,impl 0x53A53D0: 4883ec28488b055de8c7044885c0751a
ULivingState,Tick,0x11A7700,REAL,YES,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
ULokiMinionTargetingComponent,UpdateTargetEnemy,0x5407790,REAL,no,impl 0x5407790: 4883ec28488b0595eec1044885c0751a
ULokiPatchVersionStatics,NotEqual_LokiPatchVersion,0x5410F00,REAL,no,impl 0x5410F00: 4883ec28488b05d560c1044885c07522
ULokiPhysicsGameplayTask,TaskDestroyed,0x54117E0,REAL,YES,impl 0x54117E0: 48895c24084889742410574883ec2048
ALokiProjectile,StopHoming,0x5471D90,REAL,no,impl 0x5471C50: 4c8bdc4883ec78488b05f2a6bb044885
ULokiProgressBarTickingWidget,InternalUpdateTicks,0x543A550,REAL,no,impl 0x543A550: 4883ec28488b05a5f0be044885c07522
ULokiProjectileManager,OnProjectileTrigger,0x5444670,REAL,YES,impl 0x5444670: 4883ec28488b050557be044885c0751a
ALokiRespawnBeacon,UpdateProgressBP,0x525EA60,REAL,YES,impl 0x5257440: 4c8bdc4883ec78488b0592dadb044885
ULokiReferenceGraph,UpdateGraph,0x544AD50,REAL,no,impl 0x544AD50: 4883ec28488b0535f4bd044885c07522
ULokiServerAuthConfig,OnRep_GameFeatureToggles,0x5458720,REAL,no,impl 0x5458720: 4883ec28488b058529bd044885c07522
ULokiShapeBox,MakeLokiShapeBox_MeleeHitBox,0x5459E80,REAL,no,impl 0x5459E80: 4883ec28488b056513bd044885c07522
ULokiStatsComponent,OnMatchStats,0x546BC00,REAL,no,impl 0x546BC00: 4883ec28488b050500bc044885c0751a
ULokiTabButtonBase,SetTabLabelInfo_Implementation,0x5471420,REAL,no,impl 0x5472780: 4c8bdc4883ec78488b05929bbb044885
ALokiTeamState,UnbindToGameplayEvent,0x5471D90,REAL,no,impl 0x5471C50: 4c8bdc4883ec78488b05f2a6bb044885
UMovieSceneScriptingActorReferenceKey,SetTime,0x547B130,REAL,no,impl 0x547B130: 4c8bdc4883ec78488b052a1abb044885
ULokiTransitionWidgetManager,GetLokiTransitionWidgetManager,0x548AF90,REAL,no,impl 0x548AF90: 4883ec28488b05d525ba044885c0751a
UPartyModel,OnMemberXPBoostUpdated,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UPlatformPlayerModel,Tag,0x54CABD0,REAL,no,impl 0x54CABD0: 48895c24084889742410574883ec2048
UPlayerStatsManager,RefreshPlayerStats,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UReplicationGraphNode_LokiTeam,ActorTeamChanged,0x54DA2F0,REAL,no,impl 0x54DA2F0: 4883ec28488b05ad67b5044885c0751a
UStorefrontBlueprintFunctionLibrary,SortedRewardTrackDetailsByDisplayOrder,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
ATeamAugment,SetAugmentObjectiveCount,0x5471D90,REAL,no,impl 0x5471C50: 4c8bdc4883ec78488b05f2a6bb044885
UUserNotificationManager,ShowGenericMessageNotification,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UVisibilityReceiver,SetOnlyVisibleToOwnerTeam,0x3365450,REAL,no,impl 0x334C0D0: 4c8bdc4883ec78488b05ca2ac3064885
UVisibilityManager,GetPlayerStatesWithVisionOfPoint,0x3348040,REAL,no,impl 0x3345460: 4c8bdc4883ec78488b050a91c3064885
URigVMUserWorkflowOptions,RequiresDialog,0x5ABC850,REAL,no,impl 0x5ABC850: 40534883ec20488d05ab8d0a03488bd9
UControlRigTransformWorkflowOptions,ProvideWorkflows,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UControlRigPoseAsset,SelectControls,0x5BB6D50,REAL,no,impl 0x5BB6D50: 48895c2408574883ec20488bf98bda48
UMovieSceneDoubleVectorTrackExtensions,SetNumChannelsUsed,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UDestructibleComponent,SetDestructibleMesh,0x377C1F0,REAL,no,impl 0x373A570: 4c8bdc4883ec78488b05120285064885
UGroomAsset,SetRiggedSkeletalMesh,0x32D9980,REAL,no,impl 0x32D5C10: 4c8bdc4883ec78488b054a23ca064885
UGroomComponent,SetPhysicsAsset,0x37A7E50,REAL,no,impl 0x377E0E0: 4c8bdc4883ec78488b050ae280064885
UComputeGraphComponent,QueueExecute,0x5F093A0,REAL,no,impl 0x5F093A0: 4883ec28488b05258b14044885c0751a
UOptimusNodeGraph,RenameGraphDirect,0x5F21C30,REAL,no,impl 0x5F21C30: 4883ec28488b05754513044885c0751a
UOptimusDeformerInstance,SetVectorVariable,0x5F24DE0,REAL,no,impl 0x5F24DE0: 48895c2408574883ec208bda488bf9e8
UOpenColorIODisplayExtensionWrapper,SetSceneExtensionIsActiveFunctions,0x5FB5370,REAL,no,impl 0x5FB5370: 4883ec28488b0545290a044885c0751a
UMovieGraphScriptBase,OnShotStart,0x5FCEF00,REAL,no,impl 0x5FCEF00: 4883ec28488b05ddcb08044885c0751a
UMovieGraphRenderPreviewWidget,OnInitializedForPipeline,0x5FE4230,REAL,YES,impl 0x5FE4230: 4883ec28488b05458507044885c0751a
UConsoleVariablesAsset,SetVariableCollectionDescription,0x2F39160,REAL,no,impl 0x2E7E3C0: 4c8bdc4883ec78488b055aaf0e074885
UPlaneCutTool,FlipPlane,0x645CFB0,REAL,no,impl 0x645CFB0: 4883ec28488b057d6fc0034885c07522
UPCGDifferenceData,SetDensityFunction,0x64F60E0,REAL,no,impl 0x64F60E0: 4883ec28488b0555fab6034885c0751a
UPCGBlueprintElement,VariableLoopBody,0x659D620,REAL,YES,impl 0x659D620: 4883ec28488b052594ac034885c07522
UPCGBlueprintSettings,SetElementType,0x67F2CC0,REAL,no,impl 0x67F2CC0: 4883ec28488b05255d87034885c0751a
UPCGComponent,SetGraph,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UPCGGraphInterface,GetMutablePCGGraph,0x67F1C60,REAL,no,impl 0x67F1C60: 4c8bdc4883ec78488b05ba6c87034885
UIKRigComponent,SetIKRigGoalTransform,0x6A6DC70,REAL,no,impl 0x6A6DB10: 4c8bdc4883ec78488b058a1960034885
UDiscordChannelHandle,Name,0x6EBCB60,REAL,no,impl 0x6EBCB60: 488d05e9fb3d02c3cccccccccccccccc
USharedImageConstRefBlueprintFns,GetHeight,0x150D4B0,REAL,no,impl 0x150D4B0: 48895c24084889742418574883ec3033
USharedImageConstRefBlueprintFns,GetPixelLinearColor,0x150D5A0,REAL,no,impl 0x150D5A0: 48895c24085556574154415541564157
USharedImageConstRefBlueprintFns,GetPixelValue,0x150D830,REAL,no,impl 0x150D830: 48895c24085556574883ec5033ff498b
USharedImageConstRefBlueprintFns,GetSize,0x150D9F0,REAL,no,impl 0x150D9F0: 48895c24084889742418574883ec3033
USharedImageConstRefBlueprintFns,GetWidth,0x150DB10,REAL,no,impl 0x150DB10: 48895c24084889742418574883ec3033
USharedImageConstRefBlueprintFns,IsValid,0x150DC00,REAL,no,impl 0x150DC00: 48895c24084889742418574883ec3033
UGameMapsSettings,GetGameMapsSettings,0x1768900,REAL,no,impl 0x1768900: 48895c2408574883ec20488b422033c9
UGameMapsSettings,GetSkipAssigningGamepadToPlayer1,0x1768970,REAL,no,impl 0x1768970: 488b42204533c94885c0410f95c14c03
UGameMapsSettings,SetSkipAssigningGamepadToPlayer1,0x1768990,REAL,no,impl 0x1768990: 48895c24104889742418574883ec2033
UMeshDescriptionBase,ComputePolygonTriangulation,0x1F12FB0,REAL,no,tail-call target 0x1F130E0 on dark page 0x1F13000; wrapper's own prologue looked real
UMeshDescriptionBase,CreateEdge,0x1F130B0,DARK,no,page 0x1F13000 all-zero
UMeshDescriptionBase,CreateEdgeWithID,0x1F13280,DARK,no,page 0x1F13000 all-zero
UMeshDescriptionBase,CreatePolygon,0x1F134E0,DARK,no,page 0x1F13000 all-zero
UMeshDescriptionBase,CreatePolygonGroup,0x1F13710,DARK,no,page 0x1F13000 all-zero
UMeshDescriptionBase,CreatePolygonGroupWithID,0x1F13750,DARK,no,page 0x1F13000 all-zero
UMeshDescriptionBase,CreatePolygonWithID,0x1F13850,DARK,no,page 0x1F13000 all-zero
UMeshDescriptionBase,CreateTriangle,0x1F13AF0,DARK,no,page 0x1F13000 all-zero
UMeshDescriptionBase,CreateTriangleWithID,0x1F13D20,DARK,no,page 0x1F13000 all-zero
UMeshDescriptionBase,CreateVertex,0x1F13FC0,DARK,no,page 0x1F13000 all-zero
UMeshDescriptionBase,CreateVertexInstance,0x1F14000,DARK,no,page 0x1F14000 all-zero
UMeshDescriptionBase,CreateVertexInstanceWithID,0x1F14160,DARK,no,page 0x1F14000 all-zero
UMeshDescriptionBase,CreateVertexWithID,0x1F14350,DARK,no,page 0x1F14000 all-zero
UMeshDescriptionBase,DeleteEdge,0x1F14450,DARK,no,page 0x1F14000 all-zero
UMeshDescriptionBase,DeletePolygon,0x1F145C0,DARK,no,page 0x1F14000 all-zero
UMeshDescriptionBase,DeletePolygonGroup,0x1F147F0,DARK,no,page 0x1F14000 all-zero
UMeshDescriptionBase,DeleteTriangle,0x1F148F0,DARK,no,page 0x1F14000 all-zero
UMeshDescriptionBase,DeleteVertex,0x1F14B20,DARK,no,page 0x1F14000 all-zero
UMeshDescriptionBase,DeleteVertexInstance,0x1F14C20,DARK,no,page 0x1F14000 all-zero
UMeshDescriptionBase,Empty,0x1F14D90,DARK,no,page 0x1F14000 all-zero
UMeshDescriptionBase,GetEdgeConnectedPolygons,0x1F14DB0,DARK,no,page 0x1F14000 all-zero
UMeshDescriptionBase,GetEdgeConnectedTriangles,0x1F14F20,DARK,no,page 0x1F14000 all-zero
UMeshDescriptionBase,GetEdgeCount,0x1F15140,DARK,no,page 0x1F15000 all-zero
UMeshDescriptionBase,GetEdgeVertex,0x1F15180,DARK,no,page 0x1F15000 all-zero
UMeshDescriptionBase,GetEdgeVertices,0x1F15370,DARK,no,page 0x1F15000 all-zero
UMeshDescriptionBase,GetNumEdgeConnectedPolygons,0x1F15570,DARK,no,page 0x1F15000 all-zero
