path,file_size,streams,nmodules,game_base,game_size,nthreads,n_mem,n_mem64,n_ranges,bytes_captured,bytes_in_stacks,bytes_in_image,ranges_in_image,n_meminfo,meminfo_bytes,residual,max_range_end_rva,C1,C2,C4
dumps\crashpad-20260805-020141-tut3-NOSTAGE\reports\85f158bd-ad51-433d-9727-1c672418e735.dmp,44346416,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff681610000,0xa9e1000,143,735,0,735,40870840,39936000,0,0,59233,2843200,3475576,44346416,1,1,1
dumps\crashpad-20260805-020152\reports\85f158bd-ad51-433d-9727-1c672418e735.dmp,44346416,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff681610000,0xa9e1000,143,735,0,735,40870840,39936000,0,0,59233,2843200,3475576,44346416,1,1,1
dumps\crashpad-20260805-020627-tut4-DEATH\reports\e744eeea-ecca-461f-b5a4-2db8ff45a3df.dmp,43780736,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,141,733,0,733,40973674,40050688,0,0,44287,2125792,2807062,43780736,1,1,1
dumps\crashpad-20260805-021852\reports\e744eeea-ecca-461f-b5a4-2db8ff45a3df.dmp,43780736,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,141,733,0,733,40973674,40050688,0,0,44287,2125792,2807062,43780736,1,1,1
dumps\crashpad-20260805-022400-tuta1-DEATH\reports\f6b5e184-a62a-4965-9f65-12bb7b232809.dmp,43693344,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,141,731,0,731,40832482,39915520,0,0,44122,2117872,2860862,43693344,1,1,1
dumps\crashpad-20260805-022406\reports\f6b5e184-a62a-4965-9f65-12bb7b232809.dmp,43693344,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,141,731,0,731,40832482,39915520,0,0,44122,2117872,2860862,43693344,1,1,1
dumps\crashpad-20260805-023322-tuta3-DEATH\reports\1fa9d51c-5eef-447e-9753-a0939f3392a1.dmp,43776016,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,137,725,0,725,40900426,40001536,0,0,44513,2136640,2875590,43776016,1,1,1
dumps\crashpad-20260805-025025\reports\1fa9d51c-5eef-447e-9753-a0939f3392a1.dmp,43776016,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,137,725,0,725,40900426,40001536,0,0,44513,2136640,2875590,43776016,1,1,1
dumps\crashpad-20260805-025508-tutr1-DEATH\reports\b726dea8-4bbe-4f54-8a79-3bc6bf111496.dmp,43752112,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,139,729,0,729,40851034,39940096,0,0,44753,2148160,2901078,43752112,1,1,1
dumps\crashpad-20260805-025514\reports\b726dea8-4bbe-4f54-8a79-3bc6bf111496.dmp,43752112,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,139,729,0,729,40851034,39940096,0,0,44753,2148160,2901078,43752112,1,1,1
dumps\crashpad-20260805-030027\reports\45b740e8-67a3-401c-b530-21ce9760ee3e.dmp,43609888,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff681610000,0xa9e1000,142,731,0,731,40842408,39919616,0,0,42708,2050000,2767480,43609888,1,1,1
dumps\crashpad-20260805-030527-tutr3-DEATH\reports\c9a85003-95c5-4ae8-86b4-918e2d6c66c2.dmp,43810800,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,137,725,0,725,40929098,40030208,0,0,44883,2154400,2881702,43810800,1,1,1
