path,dir,va,declsize,filesize,sha256,mz,pe,allzero,nonzero,entropy,head16,insns,cov,invalid
../../../dumps\crash-20260815-160759\SUPERVIVE-Win64-Shipping.exec_0x1AE03620000_1000.bin,crash-20260815-160759,0x1ae03620000,0x1000,4096,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,0,0,1,0,-0.0000,00000000000000000000000000000000,2048,4096,0
../../../dumps\crash-20260815-160759\SUPERVIVE-Win64-Shipping.exec_0x1AE4F960000_10000.bin,crash-20260815-160759,0x1ae4f960000,0x10000,65536,de2f256064a0af797747c2b97505dc0b9f3df0de4f489eac731c23ae9ca9cc31,0,0,1,0,-0.0000,00000000000000000000000000000000,2048,4096,0
../../../dumps\crash-20260815-160759\SUPERVIVE-Win64-Shipping.exec_0x1AE51560000_26000.bin,crash-20260815-160759,0x1ae51560000,0x26000,155648,bea46ecdb78d8820477eb558d9a28b7752fd6d1fe8c6246e187c3da419531f68,0,0,1,0,-0.0000,00000000000000000000000000000000,2048,4096,0
../../../dumps\crash-20260815-160759\SUPERVIVE-Win64-Shipping.exec_0x7FFA423E0000_D000.bin,crash-20260815-160759,0x7ffa423e0000,0xd000,53248,5fd0979fbbecbde4e4c00555c04c739c9769b18923009bc715c012201afeaa13,0,0,1,0,-0.0000,00000000000000000000000000000000,2048,4096,0
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A32D620000_1000.bin,crash-20260815-200514,0x1a32d620000,0x1000,4096,bc34ff5e9193012fd59d7021c8ca294037ba3b0e87bac0ebe085658ef7fbd5f9,0,0,0,68,0.1944,48b90070ca37a301000048ba87010000,2012,4096,0
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A3343E0000_2E000.bin,crash-20260815-200514,0x1a3343e0000,0x2e000,188416,923365051e0934787ab7ebfba048c5d558b6ad29a5de4a02d9812baf7aae05d0,1,1,0,119097,6.2140,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A334410000_1000.bin,crash-20260815-200514,0x1a334410000,0x1000,4096,845c867fba4f68e5dd1a53b91bf5e0dc5b91780127fe8085c24d80cdb43f5542,0,0,0,68,0.1955,48b900b04034a301000048ba91010000,2012,4096,0
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A337C40000_6A000.bin,crash-20260815-200514,0x1a337c40000,0x6a000,434176,64dacc567214fd2e69d6bc97bd895a31d9613bd231a42ae5c72a0156a93689ef,1,1,0,275490,6.2235,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A3581E0000_1000.bin,crash-20260815-200514,0x1a3581e0000,0x1000,4096,5dd846175befd6ecbb74bfb5d8000abd4bd6d6328c0240cb3367135170f1c509,0,0,0,107,0.2854,4883ec4848894c242048895424284c89,2013,4095,1
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A3EC280000_29000.bin,crash-20260815-200514,0x1a3ec280000,0x29000,167936,24ff2c8a346350d6f81947b589555c250680c26221bba1ebfa982cc285a6a344,1,1,0,112902,6.2377,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A3EC2F0000_1000.bin,crash-20260815-200514,0x1a3ec2f0000,0x1000,4096,58929c1aa677008c2b4d0fb17307a3028b32c9d4912f7fe04de73de719dfe185,0,0,0,67,0.1892,48b900602aeca301000048ba8f010000,2012,4096,0
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A3ED010000_1000.bin,crash-20260815-200514,0x1a3ed010000,0x1000,4096,4e52c7709bdf8dbbbb4e7e6c477c3902a9d50d05395297b099c83dc521678424,0,0,0,68,0.1949,48b900a012eda301000048babf010000,2012,4096,0
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A3ED0A0000_8D000.bin,crash-20260815-200514,0x1a3ed0a0000,0x8d000,577536,7ea1fb230efdea85751feab981b52b81b9380467e91b7435db03fe516d83bb82,1,1,0,159021,6.0640,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A3EEC60000_10000.bin,crash-20260815-200514,0x1a3eec60000,0x10000,65536,dc9554d63d890b32c91577c7b57dd96062814157be64d63df1bccce2cd35bcb1,0,0,0,28560,3.7547,00000000000000000000000000000000,1314,2627,1469
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A3F12B0000_10000.bin,crash-20260815-200514,0x1a3f12b0000,0x10000,65536,4354d4884e95d05bb3617ac9b32170627446f8dfe929a7675626def0ecb56c16,0,0,0,22809,3.1618,00000000000000000000000000000000,2048,4096,0
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A47DC60000_26000.bin,crash-20260815-200514,0x1a47dc60000,0x26000,155648,4872053c437b8380c2ab9ff357af788506c7776fc8bba549997ef19dbe0f139f,1,1,0,105661,6.2553,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x1A487D00000_1000.bin,crash-20260815-200514,0x1a487d00000,0x1000,4096,de5e3dd264fd834132bfef629a5c1b423bfd59b7b188a83d70a2397f1ec52ef5,0,0,0,68,0.1955,48b90030c87da401000048ba81010000,2012,4096,0
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x7FF7BFF20000_1000.bin,crash-20260815-200514,0x7ff7bff20000,0x1000,4096,c2670bc75780c92fecc18f3380a4d90829eab35c47b40dabd0ed94a4c0856612,0,0,0,47,0.1448,48895c2408e99b543701000000000000,2037,4096,0
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x7FF7BFF30000_1000.bin,crash-20260815-200514,0x7ff7bff30000,0x1000,4096,7630792130ce51daaa6f0edfb54b44ac48aedc6408ad615a38cedbc67759e9c4,0,0,0,47,0.1459,48895c2408e99b543601000000000000,2037,4096,0
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x7FF7BFF40000_1000.bin,crash-20260815-200514,0x7ff7bff40000,0x1000,4096,0e5d27afedc91e254bc5b61ceae61cb4a797ae82ea5e20948a019595e4ba8538,0,0,0,47,0.1459,48895c2408e99b543501000000000000,2037,4096,0
