t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
19.597,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
19.851,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
20.103,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
20.355,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
20.608,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
20.862,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
21.114,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
21.365,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
21.619,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
21.872,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
22.125,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
22.327,target,AnimSequence/A_Shared_Idle#53781,53781,0x21410274800,00000004,0,0,0x7FF689560680,0028000B,53781,0x213731E8D00,2753987,1,
22.377,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
22.629,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
22.883,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
23.135,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
23.387,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
23.640,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
23.893,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
24.146,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
24.397,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
24.651,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
24.903,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
25.156,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
25.408,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
25.660,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
25.914,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
26.166,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
26.417,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
26.671,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
26.922,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
27.174,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
27.427,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
27.680,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
27.932,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
28.184,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
28.437,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
28.692,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
28.945,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
29.196,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
29.448,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
29.700,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
29.953,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
30.206,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
30.459,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
30.711,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
30.963,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
31.216,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
31.468,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
31.720,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
31.972,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
32.225,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
32.478,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
32.731,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
32.983,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
33.235,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
33.487,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
33.739,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
33.990,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
34.243,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=2 bit30=22.2
34.494,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
34.746,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
34.999,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
35.252,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
35.505,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
35.757,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
36.010,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
36.261,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
36.515,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
36.767,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
37.020,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
37.273,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
37.525,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
37.778,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
38.029,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
38.281,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
38.534,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
38.785,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=2 bit30=22.2
