t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
17.435,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
17.687,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
17.938,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
18.190,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
18.442,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
18.695,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
18.947,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
19.199,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
19.452,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
19.703,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
19.955,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
20.208,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
20.461,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
20.714,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
20.966,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
21.217,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
21.471,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
21.723,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
21.976,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
22.229,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
22.481,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
22.734,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
22.987,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
23.240,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
23.494,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
23.747,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
24.000,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
24.253,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
24.506,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
24.758,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
25.011,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
25.262,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
25.515,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
25.769,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
26.021,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
26.274,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
26.528,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
26.780,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
27.032,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
27.285,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
27.539,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
27.791,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
28.044,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
28.297,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
28.549,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
28.802,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
29.054,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
29.308,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
29.560,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
29.813,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
30.065,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
30.318,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
30.571,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
30.824,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
31.077,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
31.328,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
31.580,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
31.833,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
32.086,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
32.338,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
32.590,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
32.844,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
33.096,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
33.348,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
33.601,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
33.854,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
34.107,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
