[0] catalog_purchasable_fix worker started
[hb] catMgr=0x1CC7CC3E080 iters=1497 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1514 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1531 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1548 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1565 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1582 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1599 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1616 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1633 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1650 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1667 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1684 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1701 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1718 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1735 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1752 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1769 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1786 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1803 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1820 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1837 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1854 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1871 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1888 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1905 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1922 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1939 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1956 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1973 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=1990 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2007 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2024 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2041 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2058 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2075 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2092 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2109 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2126 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2143 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2160 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2177 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2194 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2211 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2228 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2245 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2262 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2279 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2296 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2313 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2330 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2347 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2364 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2381 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2398 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2415 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2432 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2449 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2466 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2483 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2500 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2517 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2534 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2551 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2568 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2585 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2602 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2619 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2636 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2653 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2670 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2687 lastPoked=1355
