rva,section,recorded_name,proposed_name,proposed_class,confidence,verdict,name_check,fn_entry,fn_offset,fn_tier,fn_extent,n_strings,evidence,why,record_kind,n_sources,sources,recorded_alts,sample_context
0x0280031,.text,CatalogEntry,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0280000 is all-zero in this dump (never decrypted),bare,16,docs/catalog-probe-marker.txt;docs/session-46-bp-hero-list-filter-FOUND.txt;docs/session-47-pickup.txt;memory/supervive-hero-roster-blocker.md,,[dump]  [0] key.Type=0x1A568 key.Name=0x323C6B val=0x2106FB6B140 [val+0xc]=0x280031
0x02826AC,.text,DA_MissionPoolHunterMissions,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0282000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 8/16] calling AddDynamicAsset for DA_MissionPoolHunterMissions (id-Name=0x00485FA0 pkg=0x002826AC cls=0x0025D3BE)
0x02881E4,.text,DA_MissionPoolDailyChallenge,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0288000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 2/16] calling AddDynamicAsset for DA_MissionPoolDailyChallenge (id-Name=0x00148086 pkg=0x002881E4 cls=0x003BE4F5)
0x0292B55,.text,DA_MissionPoolWeeklyChallenge,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0292000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [13/16] calling AddDynamicAsset for DA_MissionPoolWeeklyChallenge (id-Name=0x002FA99A pkg=0x00292B55 cls=0x0011CE60)
0x029D2DA,.text,DA_MissionPoolDailyEasy,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x029D000 is all-zero in this dump (never decrypted),bare,2,docs/lokiassetmanager-vtable-dump.md,,constexpr uint32 kName_DA_MissionPoolDailyEasy                = 0x0029D2DA;
0x029EC0A,.text,DA_MissionPoolDailyEasy,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x029E000 is all-zero in this dump (never decrypted),bare,1,docs/session-52-missions-page-decompiled.txt,MissionPool,"- FName ids (this exe): MissionPool=0x16F06, DA_MissionPoolDailyEasy=0x29EC0A,"
0x029F49F,.text,NamePrivate,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x029F000 is all-zero in this dump (never decrypted),bare,1,docs/lokiassetmanager-vtable-dump.md,LokiAssetManager,| `LokiAssetManager` (singleton's NamePrivate) | 0x00586413 | 0x0029F49F |
0x02A7E5A,.text,DA_MissionPoolDailyEasy,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x02A7000 is all-zero in this dump (never decrypted),bare,6,docs/lokiassetmanager-vtable-dump.md;docs/registration-shim-marker.txt;git-log;tools/sigbypass-mod/registration_shim.cpp,MissionPool,| `DA_MissionPoolDailyEasy` | 0x0029D2DA | 0x002A7E5A |
0x02CB3A9,.text,DA_MissionPoolDailyPCB,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x02CB000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 6/16] calling AddDynamicAsset for DA_MissionPoolDailyPCB (id-Name=0x0056BBFA pkg=0x004421AA cls=0x002CB3A9)
0x02D4895,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x02D4000 is all-zero in this dump (never decrypted),bare,1,docs/scan-on-browse-marker.txt,,[scan] type_fname=0x2D4895 -> added=0
