t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
0.001,sweep,,,,,,,,,,,,,live=43824 free=5704 reachbit=None bit30=89.7
0.253,sweep,,,,,,,,,,,,,live=44968 free=5704 reachbit=None bit30=87.4
0.507,sweep,,,,,,,,,,,,,live=45728 free=5704 reachbit=None bit30=86.0
0.760,sweep,,,,,,,,,,,,,live=46184 free=5704 reachbit=None bit30=85.1
1.013,sweep,,,,,,,,,,,,,live=46184 free=5704 reachbit=None bit30=85.1
1.268,sweep,,,,,,,,,,,,,live=46184 free=5704 reachbit=None bit30=85.1
1.522,sweep,,,,,,,,,,,,,live=46184 free=5704 reachbit=None bit30=85.1
1.776,sweep,,,,,,,,,,,,,live=46184 free=5704 reachbit=None bit30=85.1
2.030,sweep,,,,,,,,,,,,,live=46184 free=5704 reachbit=None bit30=85.1
2.285,sweep,,,,,,,,,,,,,live=47088 free=5704 reachbit=None bit30=83.5
2.539,sweep,,,,,,,,,,,,,live=47088 free=5704 reachbit=None bit30=83.5
2.792,sweep,,,,,,,,,,,,,live=47088 free=5704 reachbit=None bit30=83.5
3.047,sweep,,,,,,,,,,,,,live=47088 free=5704 reachbit=None bit30=83.5
3.302,sweep,,,,,,,,,,,,,live=47440 free=5704 reachbit=None bit30=82.9
3.557,sweep,,,,,,,,,,,,,live=47840 free=5704 reachbit=None bit30=82.2
3.810,sweep,,,,,,,,,,,,,live=48072 free=5704 reachbit=None bit30=81.8
4.064,sweep,,,,,,,,,,,,,live=48072 free=5704 reachbit=None bit30=81.8
4.319,sweep,,,,,,,,,,,,,live=48072 free=5704 reachbit=None bit30=81.8
4.572,sweep,,,,,,,,,,,,,live=48168 free=5704 reachbit=None bit30=81.6
4.827,sweep,,,,,,,,,,,,,live=48864 free=5704 reachbit=None bit30=80.5
5.081,sweep,,,,,,,,,,,,,live=48864 free=5704 reachbit=None bit30=80.5
5.335,sweep,,,,,,,,,,,,,live=48864 free=5704 reachbit=None bit30=80.5
5.589,sweep,,,,,,,,,,,,,live=49144 free=5704 reachbit=None bit30=80.0
5.840,sweep,,,,,,,,,,,,,live=49200 free=5704 reachbit=None bit30=79.9
6.094,sweep,,,,,,,,,,,,,live=49200 free=5704 reachbit=None bit30=79.9
6.348,sweep,,,,,,,,,,,,,live=50296 free=5704 reachbit=None bit30=78.2
6.599,sweep,,,,,,,,,,,,,live=50296 free=5704 reachbit=None bit30=78.2
6.853,sweep,,,,,,,,,,,,,live=50464 free=5704 reachbit=None bit30=77.9
7.107,sweep,,,,,,,,,,,,,live=51352 free=5704 reachbit=None bit30=76.6
7.360,sweep,,,,,,,,,,,,,live=51376 free=5704 reachbit=None bit30=76.5
7.614,sweep,,,,,,,,,,,,,live=51384 free=5704 reachbit=None bit30=76.5
7.887,sweep,,,,,,,,,,,,,live=51384 free=5704 reachbit=None bit30=76.5
8.141,sweep,,,,,,,,,,,,,live=51384 free=5704 reachbit=None bit30=76.5
8.396,sweep,,,,,,,,,,,,,live=51384 free=5704 reachbit=None bit30=76.5
8.651,sweep,,,,,,,,,,,,,live=51392 free=5704 reachbit=None bit30=76.5
8.904,sweep,,,,,,,,,,,,,live=51392 free=5704 reachbit=None bit30=76.5
9.157,sweep,,,,,,,,,,,,,live=51392 free=5704 reachbit=None bit30=76.5
9.409,sweep,,,,,,,,,,,,,live=51392 free=5704 reachbit=None bit30=76.5
9.660,sweep,,,,,,,,,,,,,live=51392 free=5704 reachbit=None bit30=76.5
9.913,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
10.165,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
10.417,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
10.670,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
10.922,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
11.174,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
11.427,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
11.680,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
11.933,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
12.186,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
12.439,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
12.691,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
12.942,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
13.194,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
13.446,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
13.699,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
13.951,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
14.205,sweep,,,,,,,,,,,,,live=52384 free=5704 reachbit=None bit30=75.1
14.457,sweep,,,,,,,,,,,,,live=50880 free=7208 reachbit=None bit30=77.3
14.712,sweep,,,,,,,,,,,,,live=56680 free=5704 reachbit=None bit30=69.4
14.965,sweep,,,,,,,,,,,,,live=72232 free=5704 reachbit=1 bit30=54.4
15.220,sweep,,,,,,,,,,,,,live=78688 free=5704 reachbit=1 bit30=50.0
15.475,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
15.730,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
15.984,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
16.239,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
16.493,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
16.748,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
17.001,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
17.256,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
17.510,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
17.765,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
18.018,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
18.271,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
18.525,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
18.779,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
19.033,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
19.288,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
19.541,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
19.795,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
20.048,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
20.303,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
20.557,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
20.810,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
