"label","arm","outcome","died_after_arm_s","hold_s","probe","probe_text_sha","game_pid","aslr_base","launch_utc","arm_utc","end_utc","map_load_line","stage_exit","armed","probe_receipt","gft_records","exit_code","fo_dll","new_uecc","new_crashpad","note"
"s112p3-ctl-04","fs17k","STAGE_DEATH","","600","tutorial_launch_play_funcswap.dll","badecc840bafee84","","0x7FF6505C0000","2026-08-08T17:43:25.7605662Z","2026-08-08T17:46:27.8520094Z","2026-08-08T17:46:47.4222794Z","","4/att1","no","no-snapshot","148->149","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112p3-ctl-05","fs17k","SURVIVED","601","600","tutorial_launch_play_funcswap.dll","badecc840bafee84","33552","0x7FF6505C0000","2026-08-08T17:46:52.6270648Z","2026-08-08T17:50:33.3798713Z","2026-08-08T18:00:43.8011123Z","","0/att1","yes","truncated-ok","149->150","","tutorial_launch_fo.dll","","no",""
"s112p3-trt-06","fs1","SURVIVED","600","600","tutorial_launch_play_funcswap_one.dll","5151621d2154e454","48976","0x7FF758F50000","2026-08-08T18:00:49.5974574Z","2026-08-08T18:07:37.3581858Z","2026-08-08T18:17:46.7109730Z","","0/att2","yes","truncated-ok","150->152","","tutorial_launch_fo.dll","","no",""
"s112p3-ctl-07","fs17k","SURVIVED","600","600","tutorial_launch_play_funcswap.dll","badecc840bafee84","29652","0x7FF758F50000","2026-08-08T18:17:53.3792480Z","2026-08-08T18:25:26.6387828Z","2026-08-08T18:35:36.5163210Z","","0/att1","yes","truncated-ok","152->153","","tutorial_launch_fo.dll","","no",""
"s112p3-trt-08","fs1","STAGE_DEATH","","600","tutorial_launch_play_funcswap_one.dll","5151621d2154e454","","0x7FF650FD0000","2026-08-08T18:35:42.8595418Z","2026-08-08T18:43:47.7035473Z","2026-08-08T18:44:08.8575313Z","","4/att2","no","no-snapshot","153->155","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112p3-trt-09","fs1","SURVIVED","602","600","tutorial_launch_play_funcswap_one.dll","5151621d2154e454","20572","0x7FF650FD0000","2026-08-08T18:44:13.9207097Z","2026-08-08T18:47:40.0847261Z","2026-08-08T18:57:50.8231552Z","","0/att1","yes","truncated-ok","155->156","","tutorial_launch_fo.dll","","no",""
"s112p3-ctl-10","fs17k","SURVIVED","602","600","tutorial_launch_play_funcswap.dll","badecc840bafee84","50800","0x7FF7E11D0000","2026-08-08T18:57:56.0895236Z","2026-08-08T19:01:11.8029656Z","2026-08-08T19:11:22.9874013Z","","0/att1","yes","truncated-ok","156->157","","tutorial_launch_fo.dll","","no",""
"s112p3-trt-11","fs1","STAGE_DEATH","","600","tutorial_launch_play_funcswap_one.dll","5151621d2154e454","","0x7FF6EE4A0000","2026-08-08T19:11:28.6547959Z","2026-08-08T19:14:09.8355319Z","2026-08-08T19:14:29.1468992Z","","4/att1","no","no-snapshot","157->158","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112p3-trt-12","fs1","STAGE_DEATH","","600","tutorial_launch_play_funcswap_one.dll","5151621d2154e454","","0x7FF6EE4A0000","2026-08-08T19:14:34.2096014Z","2026-08-08T19:17:25.6865312Z","2026-08-08T19:17:45.2384986Z","","4/att1","no","no-snapshot","158->159","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112p3-trt-13","fs1","SURVIVED","601","600","tutorial_launch_play_funcswap_one.dll","5151621d2154e454","50704","0x7FF6EE4A0000","2026-08-08T19:17:50.3184539Z","2026-08-08T19:21:17.7387736Z","2026-08-08T19:31:28.0530437Z","","0/att1","yes","truncated-ok","159->160","","tutorial_launch_fo.dll","","no",""
"s112p3-ctl-14","fs17k","SURVIVED","602","600","tutorial_launch_play_funcswap.dll","badecc840bafee84","32872","0x7FF62A180000","2026-08-08T19:31:33.3134285Z","2026-08-08T19:34:48.6053696Z","2026-08-08T19:44:59.1098334Z","","0/att1","yes","truncated-ok","160->161","","tutorial_launch_fo.dll","","no",""
"s112p3-trt-15","fs1","SURVIVED","601","600","tutorial_launch_play_funcswap_one.dll","5151621d2154e454","29532","0x7FF62A180000","2026-08-08T19:45:04.3674690Z","2026-08-08T19:48:24.8200117Z","2026-08-08T19:58:35.1051754Z","","0/att1","yes","truncated-ok","161->162","","tutorial_launch_fo.dll","","no",""
"s112p3-ctl-16","fs17k","SURVIVED","602","600","tutorial_launch_play_funcswap.dll","badecc840bafee84","37052","0x7FF62A180000","2026-08-08T19:58:40.2839484Z","2026-08-08T20:01:54.8564308Z","2026-08-08T20:12:05.4260153Z","","0/att1","yes","truncated-ok","162->163","","tutorial_launch_fo.dll","","no",""
"s112p3-trt-17","fs1","SURVIVED","601","600","tutorial_launch_play_funcswap_one.dll","5151621d2154e454","17164","0x7FF600120000","2026-08-08T20:12:10.6620313Z","2026-08-08T20:15:58.7371465Z","2026-08-08T20:26:08.9290780Z","","0/att1","yes","truncated-ok","163->164","","tutorial_launch_fo.dll","","no",""
"s112p3-ctl-18","fs17k","SURVIVED","602","600","tutorial_launch_play_funcswap.dll","badecc840bafee84","48444","0x7FF622340000","2026-08-08T20:26:14.1024305Z","2026-08-08T20:29:16.4757476Z","2026-08-08T20:39:26.8494156Z","","0/att1","yes","truncated-ok","164->165","","tutorial_launch_fo.dll","","no",""
"s112p3-trt-19","fs1","SURVIVED","601","600","tutorial_launch_play_funcswap_one.dll","5151621d2154e454","33032","0x7FF622340000","2026-08-08T20:39:32.0860676Z","2026-08-08T20:42:52.9384689Z","2026-08-08T20:53:03.3130686Z","","0/att1","yes","truncated-ok","165->166","","tutorial_launch_fo.dll","","no",""
"s112p3-ctl-20","fs17k","STAGE_DEATH","","600","tutorial_launch_play_funcswap.dll","badecc840bafee84","","0x7FF6E95E0000","2026-08-08T20:53:08.5195363Z","2026-08-08T20:55:39.8964561Z","2026-08-08T20:55:59.1329180Z","","4/att1","no","no-snapshot","166->167","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112p3-ctl-21","fs17k","SURVIVED","601","600","tutorial_launch_play_funcswap.dll","badecc840bafee84","4076","0x7FF6E95E0000","2026-08-08T20:56:04.1918781Z","2026-08-08T20:59:29.2099913Z","2026-08-08T21:09:39.2647059Z","","0/att1","yes","truncated-ok","167->168","","tutorial_launch_fo.dll","","no",""
"s112p3-trt-22","fs1","SURVIVED","602","600","tutorial_launch_play_funcswap_one.dll","5151621d2154e454","13692","0x7FF735410000","2026-08-08T21:09:44.5103886Z","2026-08-08T21:13:14.1765020Z","2026-08-08T21:23:24.5007288Z","","0/att1","yes","truncated-ok","168->169","","tutorial_launch_fo.dll","","no",""
"s112ship-01","ship","SURVIVED","601","600","tutorial_launch_play.dll","5151621d2154e454","36648","0x7FF6A5280000","2026-08-09T05:33:10.1472133Z","2026-08-09T05:37:01.1873082Z","2026-08-09T05:47:11.2106216Z","","0/att1","yes","truncated-ok","169->170","","tutorial_launch_fo.dll","","no",""
"s112ship-02","ship","STAGE_DEATH","","600","tutorial_launch_play.dll","5151621d2154e454","","0x7FF6A5280000","2026-08-09T05:47:16.6339242Z","2026-08-09T05:53:37.6974183Z","2026-08-09T05:53:57.3984254Z","","4/att2","no","no-snapshot","170->172","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112ship-03","ship","STAGE_DEATH","","600","tutorial_launch_play.dll","5151621d2154e454","","0x7FF6A5280000","2026-08-09T05:54:02.4940107Z","2026-08-09T05:57:08.2780613Z","2026-08-09T05:57:27.9348805Z","","4/att1","no","no-snapshot","172->173","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112ship-04","ship","STAGE_DEATH","","600","tutorial_launch_play.dll","5151621d2154e454","","0x7FF6A5280000","2026-08-09T05:57:33.0292816Z","2026-08-09T06:00:01.8891087Z","2026-08-09T06:00:21.1973771Z","","4/att1","no","no-snapshot","173->174","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112ship-05","ship","SURVIVED","602","600","tutorial_launch_play.dll","5151621d2154e454","35152","0x7FF6A5280000","2026-08-09T06:01:26.8426611Z","2026-08-09T06:05:24.1801501Z","2026-08-09T06:15:35.5987586Z","","0/att1","yes","truncated-ok","174->175","","tutorial_launch_fo.dll","","no",""
"s112ship-06","ship","DIED","113","600","tutorial_launch_play.dll","5151621d2154e454","52464","0x7FF628720000","2026-08-09T06:15:40.9982177Z","2026-08-09T06:19:11.6867213Z","2026-08-09T06:21:22.2099502Z","","0/att1","yes","truncated-ok","175->176","0x0000DEAD","tutorial_launch_fo.dll","","no",""
"s112ship-07","ship","STAGE_DEATH","","600","tutorial_launch_play.dll","5151621d2154e454","","0x7FF628720000","2026-08-09T06:21:27.2855186Z","2026-08-09T06:24:32.4218545Z","2026-08-09T06:24:51.6441015Z","","5/att1","no","no-snapshot","176->177","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 5)"
"s112ship-08","ship","SURVIVED","602","600","tutorial_launch_play.dll","5151621d2154e454","31668","0x7FF628720000","2026-08-09T06:24:56.7090846Z","2026-08-09T06:28:22.2185554Z","2026-08-09T06:38:32.5085396Z","","0/att1","yes","truncated-ok","177->178","","tutorial_launch_fo.dll","","no",""
"s112ship-09","ship","SURVIVED","602","600","tutorial_launch_play.dll","5151621d2154e454","13252","0x7FF7DFE90000","2026-08-09T06:38:37.6533632Z","2026-08-09T06:41:42.9649987Z","2026-08-09T06:51:53.5818978Z","","0/att1","yes","truncated-ok","178->179","","tutorial_launch_fo.dll","","no",""
"s112ship-10","ship","SURVIVED","600","600","tutorial_launch_play.dll","5151621d2154e454","55364","0x7FF66F750000","2026-08-09T06:51:58.9529482Z","2026-08-09T06:55:53.7372602Z","2026-08-09T07:06:03.5327277Z","","0/att1","yes","truncated-ok","179->180","","tutorial_launch_fo.dll","","no",""
