"label","arm","outcome","died_after_arm_s","hold_s","probe","probe_text_sha","game_pid","aslr_base","launch_utc","arm_utc","end_utc","map_load_line","stage_exit","armed","probe_receipt","gft_records","exit_code","fo_dll","new_uecc","new_crashpad","note"
"s112c-trt-28","treatment","STAGE_DEATH","","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","","0x7FF6505C0000","2026-08-07T23:49:01.4028702Z","2026-08-07T23:51:58.8127817Z","2026-08-07T23:52:18.3014974Z","","4/att1","no","no-snapshot","114->115","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112c-trt-29","treatment","SURVIVED","331","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","38276","0x7FF6505C0000","2026-08-07T23:52:23.3628092Z","2026-08-07T23:55:48.7768935Z","2026-08-08T00:01:28.1116225Z","","0/att1","yes","truncated-ok","115->116","","tutorial_launch_fo.dll","","no",""
"s112c-ctl-30","control","STAGE_DEATH","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","","0x7FF6505C0000","2026-08-08T00:01:33.4242666Z","2026-08-08T00:04:23.1725755Z","2026-08-08T00:04:42.4223802Z","","4/att1","no","no-snapshot","116->117","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112c-ctl-31","control","STAGE_FAIL","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","20404","0x7FF6505C0000","2026-08-08T00:04:47.4779087Z","2026-08-08T00:22:37.7190282Z","2026-08-08T00:22:43.6537429Z","","3/att3","no","no-snapshot","117->118","","tutorial_launch_fo.dll","","","fk24-stage aborted, game still alive (exit 3)"
"s112c-ctl-32","control","STAGE_FAIL","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","53932","0x7FF6505C0000","2026-08-08T00:22:48.7153788Z","2026-08-08T00:44:40.9120288Z","2026-08-08T00:44:44.9624099Z","","3/att3","no","no-snapshot","118->118","","tutorial_launch_fo.dll","","","fk24-stage aborted, game still alive (exit 3)"
"s112c-ctl-33","control","STAGE_FAIL","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","29596","0x7FF6505C0000","2026-08-08T00:44:50.0253645Z","2026-08-08T01:02:40.5111145Z","2026-08-08T01:02:46.4547521Z","","3/att3","no","no-snapshot","118->119","","tutorial_launch_fo.dll","","","fk24-stage aborted, game still alive (exit 3)"
"s112c-ctl-34","control","STAGE_DEATH","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","","0x7FF6505C0000","2026-08-08T01:02:51.5047792Z","2026-08-08T01:05:47.0393255Z","2026-08-08T01:06:06.2153006Z","","4/att1","no","no-snapshot","119->120","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112c-ctl-35","control","STAGE_FAIL","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","31248","0x7FF6505C0000","2026-08-08T01:06:11.2812600Z","2026-08-08T01:24:34.3320516Z","2026-08-08T01:24:40.2920604Z","","3/att3","no","no-snapshot","120->121","","tutorial_launch_fo.dll","","","fk24-stage aborted, game still alive (exit 3)"
"s112c-ctl-36","control","STAGE_FAIL","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","3864","0x7FF6505C0000","2026-08-08T01:24:45.3539345Z","2026-08-08T01:43:16.2341329Z","2026-08-08T01:43:22.1690079Z","","3/att3","no","no-snapshot","121->122","","tutorial_launch_fo.dll","","","fk24-stage aborted, game still alive (exit 3)"
"s112c-ctl-37","control","DIED","137","330","tutorial_launch_play.dll","433cf7d8f6a0770f","37100","0x7FF6505C0000","2026-08-08T01:43:27.2299363Z","2026-08-08T01:46:54.0683609Z","2026-08-08T01:49:28.7940761Z","","0/att1","yes","truncated-ok","122->123","0xC0000005","tutorial_launch_fo.dll","","yes",""
"s112c-trt-38","treatment","SURVIVED","331","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","7440","0x7FF6505C0000","2026-08-08T01:49:34.0459791Z","2026-08-08T01:52:39.2885404Z","2026-08-08T01:58:18.5415398Z","","0/att1","yes","truncated-ok","123->124","","tutorial_launch_fo.dll","","no",""
"s112c-ctl-39","control","DIED","84","330","tutorial_launch_play.dll","433cf7d8f6a0770f","50252","0x7FF6505C0000","2026-08-08T01:58:23.6617516Z","2026-08-08T02:01:48.9855618Z","2026-08-08T02:03:30.6843455Z","","0/att1","yes","truncated-ok","124->125","0xC0000005","tutorial_launch_fo.dll","","yes",""
"s112c-trt-40","treatment","STAGE_FAIL","","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","57584","0x7FF6505C0000","2026-08-08T02:03:35.7634555Z","2026-08-08T02:21:49.7340599Z","2026-08-08T02:21:55.6969460Z","","3/att3","no","no-snapshot","125->126","","tutorial_launch_fo.dll","","","fk24-stage aborted, game still alive (exit 3)"
"s112c-trt-41","treatment","SURVIVED","331","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","30008","0x7FF6505C0000","2026-08-08T02:22:00.7592993Z","2026-08-08T02:25:36.9282455Z","2026-08-08T02:31:16.3269288Z","","0/att1","yes","truncated-ok","126->127","","tutorial_launch_fo.dll","","no",""
"s112p-prof-01","profile","STAGE_FAIL","","330","tutorial_launch_play_funcswap_profile.dll","79d7d4d76a81a556","57740","0x7FF6505C0000","2026-08-08T05:27:11.8408071Z","2026-08-08T05:27:59.3014494Z","2026-08-08T05:28:03.3832269Z","","0/att3","no","no-snapshot","127->127","","tutorial_launch_fo.dll","","","fk24-stage aborted, game still alive (exit 0)"
"s112p-prof-02","profile","SURVIVED","330","330","tutorial_launch_play_funcswap_profile.dll","79d7d4d76a81a556","5800","0x7FF6505C0000","2026-08-08T05:29:01.1270164Z","2026-08-08T05:32:44.9974942Z","2026-08-08T05:38:25.1253784Z","","0/att1","yes","truncated-ok","127->128","","tutorial_launch_fo.dll","","no",""
"s112p2-foSTD-01","foSTD","STAGE_DEATH","","600","tutorial_launch_play_funcswap_one.dll","5151621d2154e454","","0x7FF6505C0000","2026-08-08T05:40:55.1848272Z","2026-08-08T05:46:46.1621215Z","2026-08-08T05:47:05.4710749Z","","4/att2","no","no-snapshot","128->130","0xC0000005","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
