t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
19.661,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
19.914,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
20.166,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
20.419,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
20.671,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
20.922,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
21.175,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
21.427,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
21.679,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
21.931,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
22.183,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
22.435,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
22.687,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
22.939,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
23.192,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
23.444,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
23.696,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
23.949,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
24.201,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
24.454,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
24.706,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
24.959,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
25.211,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
25.463,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
25.716,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
25.970,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
26.223,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
26.474,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
26.727,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
26.980,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
27.232,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
27.484,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
27.737,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
