t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
17.462,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
17.713,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
17.966,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
18.218,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
18.470,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
18.723,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
18.975,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
19.227,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
19.480,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
19.733,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
19.986,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
20.239,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
20.492,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
20.744,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
20.996,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
21.249,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
21.502,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
21.754,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
22.007,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
22.260,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
22.513,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
22.765,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
23.017,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
23.270,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
23.523,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
23.774,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
24.026,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
24.279,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
24.532,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
24.785,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
25.038,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
25.291,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
25.544,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
25.796,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
26.048,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
26.300,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
26.553,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
26.805,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
27.058,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
27.311,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
27.563,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
27.815,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
28.067,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
28.320,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
28.572,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
28.824,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
29.076,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
29.327,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
29.581,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
29.834,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
30.087,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
30.340,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
30.593,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
30.844,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
31.097,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
31.348,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
31.601,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
31.853,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
32.106,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
32.358,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
32.609,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
32.862,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
33.114,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
33.365,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
33.616,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
33.868,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
34.121,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
34.373,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
34.626,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
34.878,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
35.130,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
35.382,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
35.634,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
35.886,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
36.138,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
36.390,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
36.643,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
36.896,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
37.148,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
37.401,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
