t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
0.001,sweep,,,,,,,,,,,,,live=39424 free=5704 reachbit=None bit30=99.7
0.255,sweep,,,,,,,,,,,,,live=39440 free=5704 reachbit=None bit30=99.7
0.507,sweep,,,,,,,,,,,,,live=40864 free=5704 reachbit=None bit30=96.2
0.760,sweep,,,,,,,,,,,,,live=43336 free=5704 reachbit=None bit30=90.7
1.012,sweep,,,,,,,,,,,,,live=43648 free=5704 reachbit=None bit30=90.1
1.267,sweep,,,,,,,,,,,,,live=43648 free=5704 reachbit=None bit30=90.1
1.521,sweep,,,,,,,,,,,,,live=43648 free=5704 reachbit=None bit30=90.1
1.776,sweep,,,,,,,,,,,,,live=43736 free=5704 reachbit=None bit30=89.9
2.029,sweep,,,,,,,,,,,,,live=44000 free=5704 reachbit=None bit30=89.3
2.282,sweep,,,,,,,,,,,,,live=45384 free=5704 reachbit=None bit30=86.6
2.534,sweep,,,,,,,,,,,,,live=45928 free=5704 reachbit=None bit30=85.6
2.787,sweep,,,,,,,,,,,,,live=46104 free=5704 reachbit=None bit30=85.3
3.040,sweep,,,,,,,,,,,,,live=46104 free=5704 reachbit=None bit30=85.3
3.293,sweep,,,,,,,,,,,,,live=46104 free=5704 reachbit=None bit30=85.3
3.547,sweep,,,,,,,,,,,,,live=46104 free=5704 reachbit=None bit30=85.3
3.800,sweep,,,,,,,,,,,,,live=47088 free=5704 reachbit=None bit30=83.5
4.051,sweep,,,,,,,,,,,,,live=47088 free=5704 reachbit=None bit30=83.5
4.304,sweep,,,,,,,,,,,,,live=47088 free=5704 reachbit=None bit30=83.5
4.559,sweep,,,,,,,,,,,,,live=47088 free=5704 reachbit=None bit30=83.5
4.810,sweep,,,,,,,,,,,,,live=47840 free=5704 reachbit=None bit30=82.2
5.062,sweep,,,,,,,,,,,,,live=47840 free=5704 reachbit=None bit30=82.2
5.315,sweep,,,,,,,,,,,,,live=47840 free=5704 reachbit=None bit30=82.2
5.567,sweep,,,,,,,,,,,,,live=48168 free=5704 reachbit=None bit30=81.6
5.819,sweep,,,,,,,,,,,,,live=48168 free=5704 reachbit=None bit30=81.6
6.072,sweep,,,,,,,,,,,,,live=48248 free=5704 reachbit=None bit30=81.5
6.325,sweep,,,,,,,,,,,,,live=48880 free=5704 reachbit=None bit30=80.4
6.579,sweep,,,,,,,,,,,,,live=48984 free=5704 reachbit=None bit30=80.3
6.833,sweep,,,,,,,,,,,,,live=48984 free=5704 reachbit=None bit30=80.3
7.085,sweep,,,,,,,,,,,,,live=48984 free=5704 reachbit=None bit30=80.3
7.341,sweep,,,,,,,,,,,,,live=49152 free=5704 reachbit=None bit30=80.0
7.593,sweep,,,,,,,,,,,,,live=49664 free=5712 reachbit=None bit30=79.2
7.847,sweep,,,,,,,,,,,,,live=50296 free=5704 reachbit=None bit30=78.2
8.100,sweep,,,,,,,,,,,,,live=50296 free=5704 reachbit=None bit30=78.2
8.354,sweep,,,,,,,,,,,,,live=50464 free=5704 reachbit=None bit30=77.9
8.612,sweep,,,,,,,,,,,,,live=51352 free=5704 reachbit=None bit30=76.6
8.863,sweep,,,,,,,,,,,,,live=51352 free=5704 reachbit=None bit30=76.6
9.116,sweep,,,,,,,,,,,,,live=51376 free=5704 reachbit=None bit30=76.5
9.374,sweep,,,,,,,,,,,,,live=51384 free=5704 reachbit=None bit30=76.5
9.651,sweep,,,,,,,,,,,,,live=51384 free=5704 reachbit=None bit30=76.5
9.905,sweep,,,,,,,,,,,,,live=51392 free=5704 reachbit=None bit30=76.5
10.159,sweep,,,,,,,,,,,,,live=51392 free=5704 reachbit=None bit30=76.5
10.412,sweep,,,,,,,,,,,,,live=51392 free=5704 reachbit=None bit30=76.5
10.667,sweep,,,,,,,,,,,,,live=51392 free=5704 reachbit=None bit30=76.5
10.922,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
11.175,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
11.427,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
11.679,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
11.932,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
12.183,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
12.435,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
12.688,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
12.941,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
13.194,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
13.447,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
13.699,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
13.952,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
14.205,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
14.458,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
14.710,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
14.965,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
15.220,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
15.474,sweep,,,,,,,,,,,,,live=52384 free=5704 reachbit=None bit30=75.1
15.727,sweep,,,,,,,,,,,,,live=52384 free=5704 reachbit=None bit30=75.1
15.981,sweep,,,,,,,,,,,,,live=53080 free=5704 reachbit=None bit30=74.1
16.251,sweep,,,,,,,,,,,,,live=58112 free=5704 reachbit=None bit30=67.7
16.505,sweep,,,,,,,,,,,,,live=69944 free=5704 reachbit=1 bit30=56.2
16.759,sweep,,,,,,,,,,,,,live=79880 free=5704 reachbit=1 bit30=49.2
17.011,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
17.266,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
17.519,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
17.772,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
18.025,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
18.279,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
18.532,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
18.786,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
19.038,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
19.292,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
19.545,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
19.797,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
20.049,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
20.302,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
20.554,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
20.808,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
21.060,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
21.313,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
21.565,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
21.819,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
22.072,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
22.325,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
22.579,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
22.830,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
23.082,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
23.334,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
23.588,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
23.842,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
24.094,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
24.347,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
24.601,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
24.854,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
25.107,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
25.360,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
25.612,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
25.865,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
