t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
23.075,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
23.328,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
23.581,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
23.834,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
24.088,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
24.340,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
24.592,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
24.844,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
25.096,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
25.348,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
25.599,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
25.852,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
26.105,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
26.358,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
26.611,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
26.863,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
27.116,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
27.370,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
27.622,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
27.874,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
28.126,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
28.378,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
28.631,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
28.885,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
29.136,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
29.388,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
29.640,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
29.894,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
30.146,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
30.397,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
30.651,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
30.903,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
31.155,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
31.408,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
31.660,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
31.913,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
32.165,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
32.418,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
32.670,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
32.922,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
33.175,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
33.427,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
33.680,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
