class	func	verdict	impl_rva	thunk_rva	fold_behaviour	impl_bytes16	impl_src_image	thunk_page_lit	uht_flags	is_Net	rec_rva
UKismetMathLibrary	Conv_Vector2DToVector	REAL	0x38ec270	0x3952690		0f1002488bc1f20f1101660f15c0f20f	merged4	1	Final|RequiredAPI|Native|Static|Public|HasDefaults|BlueprintCallable|BlueprintPure	0	0x9aadbb8
UKismetMathLibrary	Conv_Vector4ToQuaternion	REAL	0x38ec4e0	0x3952950		40534883ec20488bc2488bd9488bd148	merged4	1	Final|RequiredAPI|Native|Static|Public|HasOutParms|HasDefaults|BlueprintCallable|BlueprintPure	0	0x9aadc00
UKismetMathLibrary	Conv_Vector4ToRotator	REAL	0x38ec500	0x3952a10		40534883ec20488bc2488bd9488bd148	merged4	1	Final|RequiredAPI|Native|Static|Public|HasOutParms|HasDefaults|BlueprintCallable|BlueprintPure	0	0x9aadc48
UKismetMathLibrary	Conv_Vector4ToVector	REAL	0x38ec520	0x3952ad0		488b02488901488b420848894108488b	merged4	1	Final|RequiredAPI|Native|Static|Public|HasOutParms|HasDefaults|BlueprintCallable|BlueprintPure	0	0x9aadc90
UKismetMathLibrary	Conv_VectorToLinearColor	REAL	0x38ec540	0x3952b80		40534883ec20488bd9e8127177fd488b	merged4	1	Final|RequiredAPI|Native|Static|Public|HasDefaults|BlueprintCallable|BlueprintPure	0	0x9aadcd8
UKismetMathLibrary	Conv_VectorToQuaternion	REAL	0x38ec4e0	0x3952c20		40534883ec20488bc2488bd9488bd148	merged4	1	Final|RequiredAPI|Native|Static|Public|HasDefaults|BlueprintCallable|BlueprintPure	0	0x9aadd20
UKismetMathLibrary	Conv_VectorToRotator	REAL	0x38ec500	0x3952cd0		40534883ec20488bc2488bd9488bd148	merged4	1	Final|RequiredAPI|Native|Static|Public|HasDefaults|BlueprintCallable|BlueprintPure	0	0x9aadd68
UKismetMathLibrary	Conv_VectorToTransform	REAL	0x38ec7b0	0x3952e80		0f5a057942dc03488bc1f20f1052100f	merged4	1	Final|RequiredAPI|Native|Static|Public|HasDefaults|BlueprintCallable|BlueprintPure	0	0x9aaddb0
UKismetMathLibrary	Conv_VectorToVector2D	REAL	0x38ec800	0x3952f40		488b02488901488b420848894108488b	merged4	1	Final|RequiredAPI|Native|Static|Public|HasDefaults|BlueprintCallable|BlueprintPure	0	0x9aaddf8
UKismetMathLibrary	Convert1DTo2D	REAL	0x38ec820	0x3952fc0		40534883ec20448bca488bd985d27928	merged4	1	Final|Native|Static|Public|HasDefaults|BlueprintCallable|BlueprintPure	0	0x9aade40
