guid,mtime,secs,crashtype,pid,base,frame0mod,frame0,nframes,chain,err,engine,note
UECC-Windows-63AD699C495EAB218AE2ED8B650BD10F_0000,1783566326.8213773,0,Crash,21892,0x0,ntdll,0x7FF8F0400001,2,,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION 0x00007ff8f0400001,5.4.3-0+UE5,
UECC-Windows-64A6BCAC4D1304033682A0814F93FD83_0000,1782463359.6992495,251,Crash,36152,0x7FF73DBF0000,SUPERVIVE-Win64-Shipping,0x7FF73EC6D500,21,107d500 122642f 12204d5 1205748 511fe12 511fc0f 511f6bb 511faa0 510b257 51011de 5100518 352a0d2 108834d 106c57f f8b2be f9d9bc f87040 100c334 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000000,5.4.3-0+UE5,
UECC-Windows-6557E96C43872D11E3629A81EFBFDC37_0000,1783798823.4601111,55,Assert,46300,0x7FF6B54F0000,SUPERVIVE-Win64-Shipping,0x7FF6B93D9CF5,11,3ee9cf5 3ec5faf 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Engine\Private\UnrealEngine.cpp] [Line: 15551] Couldn&apos;t spawn player: PlayerState is null,5.4.3-0+UE5,
UECC-Windows-65F4745A40DE395C1821E4BF1AF37610_0000,1784279826.1873047,278,Assert,29544,0x7FF6AF000000,SUPERVIVE-Win64-Shipping,0x7FF6AFFE0148,17,fe0148 ff933e 269ddae 269ffc1 26ae954 3d27157 252f9a4 2c54ecf 2c570b0 2b71444 2b81812 f96a8e 2b914a1 2b91b07 115ed67 115c4b1,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp] [Line: 1322] FMallocBinned2 Attempt to realloc an unrecognized block 00007FF6B6EC0000 canary == 0xb2 != 0xe3,5.4.3-0+UE5,
UECC-Windows-6845C7514B0BDF2E2BE681B2FC4B38AD_0000,1782701719.712508,3983,Crash,39100,0x7FF65F6D0000,SUPERVIVE-Win64-Shipping,0x7FF662BA693D,25,34d693d 1758d46 175c0e0 175bb3f 5796e09 1ea7e2c 3efa127 39c77ec 37f8b8c 4028924 403005f 40300da 4030f6c 4039696 751ef62,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000008,5.4.3-0+UE5,
UECC-Windows-694D1F2141A0FD81D3FD0799752BF81F_0000,1782873191.1272132,30,Crash,64888,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF683A61746,27,fe1746 2b8e7c5 2b8ebe8 2b8e17e 2b804b9 12158f2 120c6d9 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 1204e25 12143e3 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x00000001e3010020,5.4.3-0+UE5,
UECC-Windows-6AA0F21742DAA9B51911F986D410C6F4_0000,1782548586.1932678,42387,Crash,2860,0x7FF73DBF0000,SUPERVIVE-Win64-Shipping,0x7FF73EC6D500,21,107d500 122642f 12204d5 1205748 511fe12 511fc0f 511f6bb 511faa0 510b257 51011de 5100518 352a0d2 108834d 106c57f f8b2be f9d9bc f87040 100c334 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000000,5.4.3-0+UE5,
UECC-Windows-6C2B7E2842EAD7E692BB2CB1C577CEE1_0000,1783739727.9691944,33,Assert,27024,0x7FF6B54F0000,SUPERVIVE-Win64-Shipping,0x7FF6B93D9CF5,11,3ee9cf5 3ec5faf 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Engine\Private\UnrealEngine.cpp] [Line: 15551] Couldn&apos;t spawn player: PlayerState is null,5.4.3-0+UE5,
UECC-Windows-74AFD44244BBD09E981690A396DCE73C_0000,1782870404.4579408,33,Crash,65172,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF684AFD11D,12,207d11d 29d7a26 2aef45d 2af4de2 2af41ca 2aefd3f f8aba3 f96a8e 2b91aab 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION writing address 0x00007ff68a21c9e8,5.4.3-0+UE5,
UECC-Windows-75ACE427490B7C7517B048A21E162E66_0000,1782785814.7077556,14,Assert,40324,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF683A60148,13,fe0148 ff933e 32bcbee 3ec6312 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp] [Line: 1322] FMallocBinned2 Attempt to realloc an unrecognized block 000001B063AB0000 canary == 0x0 != 0xe3,5.4.3-0+UE5,
