guid,mtime,secs,crashtype,pid,base,frame0mod,frame0,nframes,chain,err,engine,note
UECC-Windows-CF785C424F9434774148F9AF7C6F122C_0000,1782788361.8294756,16,Assert,45304,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF683A60148,16,fe0148 ff933e 32bcbee 3ec6312 fafbca 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp] [Line: 1322] FMallocBinned2 Attempt to realloc an unrecognized block 000002B1B8AA0000 canary == 0x0 != 0xe3,5.4.3-0+UE5,
UECC-Windows-D06CC55E4D5F89435DB8F6BFC05647E4_0000,1782936611.0235374,30,Crash,71232,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF6853F6FF0,19,2976ff0 2984f45 2983c27 29838be 29ccd3e 2980f07 2981434 297795d 21bdcfe 2af41ca 2aefca8 2af41ca 2aefd3f f8aba3 f96a8e 2b91aab 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION writing address 0x00007ff68a55b368,5.4.3-0+UE5,
UECC-Windows-DC4A30AB45E2DCF9010F6BB1820B64C6_0000,1783811324.897772,659,Crash,86712,0x7FF6B54F0000,SUPERVIVE-Win64-Shipping,0x7FF6B6835FF8,31,1345ff8 37fefe3 feca12 1225fd6 13453a5 341721b 36a1aa3 36a1bdc 36a412b 36a339a 35aa803 3ed1a7f 3ed8642 f96a8e f9ce6a 3eeedd4 3ef3e65 39c76c6 37f8b8c 4028924 403005f 40300da 4030f6c 4039696 751ef62,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000000,5.4.3-0+UE5,
UECC-Windows-DE11FBBB430F8DFBB6B882814B05F397_0000,1783737142.9897053,834,Assert,80792,0x7FF6B54F0000,SUPERVIVE-Win64-Shipping,0x7FF6B93D9CF5,11,3ee9cf5 3ec5faf 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Engine\Private\UnrealEngine.cpp] [Line: 15551] Couldn&apos;t spawn player: ALokiGameMode::Login failed to Login,5.4.3-0+UE5,
UECC-Windows-DE62E243476030767E1AF5B1F8660B20_0000,1782593337.1335578,663,Crash,41100,0x7FF73DBF0000,SUPERVIVE-Win64-Shipping,0x7FF73EC6D500,21,107d500 122642f 12204d5 1205748 511fe12 511fc0f 511f6bb 511faa0 510b257 51011de 5100518 352a0d2 108834d 106c57f f8b2be f9d9bc f87040 100c334 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000000,5.4.3-0+UE5,
UECC-Windows-E7323D144A436F0CFA24068659F9B0EA_0000,1783838761.6395621,677,Crash,57360,0x7FF6B54F0000,SUPERVIVE-Win64-Shipping,0x7FF6BAAFF8AE,33,560f8ae 5609210 560127c 5457270 feca12 1225fd6 13453a5 341721b 36a1aa3 36a1bdc 36a412b 36a339a 35aa803 3ed1a7f 3ed8642 f96a8e f9ce6a 3eeedd4 3ef3e65 39c76c6 37f8b8c 4028924 403005f 40300da 4030f6c 4039696 751ef62,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000000,5.4.3-0+UE5,
UECC-Windows-E754B50E414F64FE7D876E9723E69CA3_0000,1782851073.6222847,21,Crash,55800,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF683A22D31,8,fa2d31 fb1fe6 17826c5 1783780 178747f 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000020,5.4.3-0+UE5,
UECC-Windows-E88547884A587C7449A41B941DC9F017_0000,1782856658.4725468,45,Crash,16824,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF6840F67A3,99,16767a3 174cd22 171b724 174c7c4 171c28e 14f3a7a 1500f51 1500dd1 1500f19 1503e55 16ec840 1500ee5 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1503e55 16ec840 1500ee5 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dc1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1503e55 15b1170 15a10ec 15b1625 15c2262 15c2066 4028d08 403005f,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION writing address 0x00007ff683a75318,5.4.3-0+UE5,
UECC-Windows-EBFECFE74D1F5009F2BE7BB40A163C79_0000,1783718923.5782156,0,Crash,98624,0x0,mdnsNSP,0x20A9632205D,2,,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000020ac365b000,5.4.3-0+UE5,
UECC-Windows-ED23376540E7F45D2D20DBB6F88A07C0_0000,1782785753.7684531,14,Assert,52260,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF683A60148,13,fe0148 ff933e 32bcbee 3ec6312 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp] [Line: 1322] FMallocBinned2 Attempt to realloc an unrecognized block 000002B775360000 canary == 0x0 != 0xe3,5.4.3-0+UE5,
UECC-Windows-EE95146A4D0F6CACEF54F3B8FD6A3F17_0000,1785056967.44667,195,Crash,32264,0x7FF6E7D30000,mdnsNSP,0x245775FB200,15,3495973 3405f13 3691a72 3691704 367b462 f84697 f873b3 f8b2be f9d9bc f87040 100c334 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION 0x00000245775fb200,5.4.3-0+UE5,
UECC-Windows-EF11C5B343B7E4CEED0E82AB07D74BD7_0000,1783735975.2734034,45,Assert,65008,0x7FF6B54F0000,SUPERVIVE-Win64-Shipping,0x7FF6B93D9CF5,11,3ee9cf5 3ec5faf 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Engine\Private\UnrealEngine.cpp] [Line: 15551] Couldn&apos;t spawn player: ALokiGameMode::Login failed to Login,5.4.3-0+UE5,
UECC-Windows-F42EF3224A443DA2FE00F390477DC4F4_0000,1782872143.0191207,30,Crash,29644,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF683A61746,27,fe1746 2b8e7c5 2b8ebe8 2b8e17e 2b804b9 12158f2 120c6d9 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 1204e25 12143e3 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x00000001e3010020,5.4.3-0+UE5,
UECC-Windows-F59A2A2D4C0311E55AA2C0B70EDF6B9E_0000,1782778569.9710774,15,Assert,55052,0x7FF67E4A0000,SUPERVIVE-Win64-Shipping,0x7FF67F480148,13,fe0148 ff933e 32bcbee 3ec6312 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp] [Line: 1322] FMallocBinned2 Attempt to realloc an unrecognized block 0000015D9E220000 canary == 0x0 != 0xe3,5.4.3-0+UE5,
UECC-Windows-F86B2A5B40089D21DFF70FA7847EBB4E_0000,1782445327.3466113,952,Crash,30700,0x7FF73DBF0000,SUPERVIVE-Win64-Shipping,0x7FF73EC6D500,21,107d500 122642f 12204d5 1205748 511fe12 511fc0f 511f6bb 511faa0 510b257 51011de 5100518 352a0d2 108834d 106c57f f8b2be f9d9bc f87040 100c334 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000000,5.4.3-0+UE5,
UECC-Windows-FE95FB0A4D579B8F464CDBB239B1D541_0000,1782688315.23262,80,Crash,17608,0x7FF65F6D0000,SUPERVIVE-Win64-Shipping,0x7FF66170656A,99,203656a 2040696 2048a8e 203cbdb 2058c9c 2053b69 fe22ed fe2f86 10f9a39 142eeee 1426aba 142e5cf 143fcd3 1440916 1444ec3 1444de1 164001c 165a2c4 1665e95 16a7cac 1698dbe 169b034 169ef6d 16c0742 16c0654 171b7b8 174c7c4 171c28e 14f3a7a 1500f51 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1500dd1 1500f19 1503e55 16ec840 1500ee5 1500dd1 1500f19 1500dd1 1500f19,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000701,5.4.3-0+UE5,
UECC-Windows-FF9CF62342E3891A63CDC5BC4ED8786E_0000,1785048653.8637393,195,Crash,17220,0x7FF6E7D30000,mdnsNSP,0x1CBE83CD400,15,3495973 3405f13 3691a72 3691704 367b462 f84697 f873b3 f8b2be f9d9bc f87040 100c334 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION 0x000001cbe83cd400,5.4.3-0+UE5,
_0000,1782776755.6838832,0,Crash,0,0x0,Unknown,0x2C5D0641C47,2,,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x00007ff6823657d0,,
