t_sec,t_wall,LocX,LocY,LocZ,VelX,VelY,VelZ,Vel2D,AccX,AccY,AccZ,Acc2D,CIVmaxMag2D,Mode,GravScale,AnalogMod,TSFS,Gate,Living,F08,RandX,RandY
192.127,1788986936.372,2474.525,-983.443,-3058.117,35.889,-18.432,-1000.000,40.346,-49558.235,6631.846,0.000,50000.0,1.0000,3,1.0000,1.0000,3.3002,1,1,0x200265E1710,-0.991,0.133
192.260,1788986936.506,2479.987,-986.248,-3221.093,31.781,-16.322,-1000.000,35.727,-49558.235,6631.846,0.000,50000.0,1.0000,3,1.0000,1.0000,3.4618,1,1,0x200265E1710,-0.991,0.133
192.363,1788986936.609,2483.149,-987.872,-3324.933,29.404,-15.101,-1000.000,33.055,-49558.235,6631.846,0.000,50000.0,1.0000,3,1.0000,1.0000,3.5694,1,1,0x200265E1710,-0.991,0.133
192.486,1788986936.731,2486.547,-989.617,-3446.199,26.852,-13.790,-1000.000,30.186,-49558.235,6631.846,0.000,50000.0,1.0000,3,1.0000,1.0000,3.6903,1,1,0x200265E1710,-0.991,0.133
192.611,1788986936.857,2489.735,-991.254,-3570.949,24.457,-12.560,-1000.000,27.494,-49558.235,6631.846,0.000,50000.0,1.0000,3,1.0000,1.0000,3.8157,1,1,0x200265E1710,-0.991,0.133
192.713,1788986936.960,2492.116,-992.477,-3672.425,22.668,-11.641,-1000.000,25.482,-49558.235,6631.846,0.000,50000.0,1.0000,3,1.0000,1.0000,3.9161,1,1,0x200265E1710,-0.991,0.133
192.827,1788986937.073,2494.618,-993.762,-3788.047,20.788,-10.676,-1000.000,23.369,-49558.235,6631.846,0.000,50000.0,1.0000,3,1.0000,1.0000,4.0310,1,1,0x200265E1710,-0.991,0.133
192.930,1788986937.175,2496.705,-994.833,-3892.704,19.221,-9.871,-1000.000,21.607,-49558.235,6631.846,0.000,50000.0,1.0000,3,1.0000,1.0000,4.1354,1,1,0x200265E1710,-0.991,0.133
193.044,1788986937.289,2498.778,-995.898,-4005.563,17.663,-9.071,-1000.000,19.856,-49558.235,6631.846,0.000,50000.0,1.0000,3,1.0000,1.0000,4.2479,1,1,0x200265E1710,-0.991,0.133
193.145,1788986937.392,2500.556,-996.811,-4110.525,16.328,-8.385,-1000.000,18.355,-49558.235,6631.846,0.000,50000.0,1.0000,3,1.0000,1.0000,4.3484,1,1,0x200265E1710,-0.991,0.133
193.261,1788986937.507,2502.340,-997.728,-4224.894,14.988,-7.697,-1000.000,16.848,-49558.235,6631.846,0.000,50000.0,1.0000,3,1.0000,1.0000,4.4665,1,1,0x200265E1710,-0.991,0.133
193.364,1788986937.610,2503.818,-998.487,-4327.801,13.876,-7.126,-1000.000,15.599,-49558.235,6631.846,0.000,50000.0,1.0000,3,1.0000,1.0000,4.5690,1,1,0x200265E1710,-0.991,0.133
